sample_id	geneset	gsva_score
CTRL1	DNA Repair all genes	0.24698093990979123
CTRL2	DNA Repair all genes	-0.10074704295497028
CTRL3	DNA Repair all genes	0.19411491815229584
Treated1	DNA Repair all genes	-0.27004219409282737
Treated2	DNA Repair all genes	0.24367088607594917
Treated3	DNA Repair all genes	-0.31139240506329147
CTRL1	Homologous Recombination	-0.182926829268293
CTRL2	Homologous Recombination	0.08786741713570939
CTRL3	Homologous Recombination	0.010298102981029456
Treated1	Homologous Recombination	-0.3641489640702862
Treated2	Homologous Recombination	0.2189514998598261
Treated3	Homologous Recombination	0.07825203252032464
CTRL1	Non-homologous End Joining	0.726190476190476
CTRL2	Non-homologous End Joining	-0.13095238095238138
CTRL3	Non-homologous End Joining	0.5833333333333333
Treated1	Non-homologous End Joining	-0.833333333333331
Treated2	Non-homologous End Joining	-0.17741935483871096
Treated3	Non-homologous End Joining	-0.5595238095238089
