pathway	treat_score	ctrl_score	score_diff	wilcox_stat	pvalue
HALLMARK_APOPTOSIS	0.2798959609993182	-0.26035006853695536	0.5402460295362735	9	0.1
HALLMARK_BILE_ACID_METABOLISM	0.9158134243458476	-0.8839590443686127	1.7997724687144603	9	0.1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.8658188388116234	-0.5136284656525187	1.3794473044641422	9	0.1
HALLMARK_DNA_REPAIR	-0.4485975212002655	0.24892979452054606	-0.6975273157208116	0	0.1
HALLMARK_E2F_TARGETS	-0.12210217070458997	0.14999440569429037	-0.27209657639888035	3	0.7
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-0.15706429183779633	0.18147867406340354	-0.33854296590119987	3	0.7
HALLMARK_FATTY_ACID_METABOLISM	-0.24459613196814886	0.1558589306029566	-0.40045506257110547	3	0.7
HALLMARK_G2M_CHECKPOINT	-0.08964864005534995	0.20212193690359284	-0.2917705769589428	0	0.1
HALLMARK_GLYCOLYSIS	0.16376780357794396	-0.17979266376117048	0.34356046733911444	7	0.4
HALLMARK_HEDGEHOG_SIGNALING	0.019776122720961103	-0.08245334196893916	0.10222946468990027	6	0.7
HALLMARK_IL2_STAT5_SIGNALING	0.20184591469930838	-0.09426439469874441	0.2961103093980528	7	0.4
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.19153508977846517	-0.09051730561992437	0.28205239539838955	7	0.4
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.18450342465753272	-0.11472956267477073	0.29923298733230347	6	0.7
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.19838109368805673	-0.1456997275878895	0.3440808212759462	9	0.1
HALLMARK_KRAS_SIGNALING_DN	0.3076988384478893	-0.27766801469200203	0.5853668531398913	7	0.4
HALLMARK_KRAS_SIGNALING_UP	-0.11052776358499024	-0.4400688242339226	0.32954106064893235	6	0.7
HALLMARK_MITOTIC_SPINDLE	-0.28571504969593	0.10521935700127953	-0.3909344066972095	2	0.4
HALLMARK_MTORC1_SIGNALING	0.12731906611232865	-0.013856556922733446	0.1411756230350621	5	1
HALLMARK_MYC_TARGETS_V1	0.27985362131464603	-0.437079082857379	0.716932704172025	9	0.1
HALLMARK_MYC_TARGETS_V2	0.38636484145513794	-0.5616412872259122	0.9480061286810502	9	0.1
HALLMARK_NOTCH_SIGNALING	-0.06506849315068804	-0.038665852886661835	-0.026402640264026202	4	1
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.2962671878268098	-0.3403372366142653	0.6366044244410751	8	0.2
HALLMARK_P53_PATHWAY	0.29222051128044085	-0.4119353850058318	0.7041558962862726	9	0.1
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.014370599026505606	-0.1711022344196287	0.18547283344613433	8	0.2
HALLMARK_PROTEIN_SECRETION	-0.41524459613197334	0.21501706484641728	-0.6302616609783906	1	0.2
HALLMARK_TGF_BETA_SIGNALING	0.33249201368878717	-0.1278388890457128	0.46033090273449995	7	0.4
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.5664899161360515	-0.4853344290117877	1.051824345147839	9	0.1
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.5051290871206484	-0.460807050733363	0.9659361378540114	9	0.1
HALLMARK_WNT_BETA_CATENIN_SIGNALING	-0.15130830489192526	0.23094425483503772	-0.382252559726963	2	0.4
