pathway	treat_score	ctrl_score	score_diff	wilcox_stat	pvalue
KEGG_ACUTE_MYELOID_LEUKEMIA	-0.20576181346891553	-0.11626572961127889	-0.08949608385763665	2	0.4
KEGG_ADHERENS_JUNCTION	-0.16645175778302448	-0.01574833413954459	-0.15070342364347988	3	0.7
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	0.014247788684663906	-0.2607071384575923	0.2749549271422562	9	0.1
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	0.2804780673530681	-0.3214807610969847	0.6019588284500528	9	0.1
KEGG_ALZHEIMERS_DISEASE	0.18662684893051468	-0.22773585273585095	0.41436270166636563	6	0.7
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	0.5333333333333345	-0.7358974358974306	1.2692307692307652	9	0.1
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	0.631236454422617	-0.4189898283596636	1.0502262827822806	9	0.1
KEGG_APOPTOSIS	0.008919212768607207	-0.27339249892871903	0.2823117116973262	9	0.1
KEGG_ARGININE_AND_PROLINE_METABOLISM	-0.09230769230768927	0.13846153846154063	-0.2307692307692299	4	1
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	0.7125846049117972	-0.6001603509474871	1.3127449558592843	9	0.1
KEGG_AXON_GUIDANCE	0.22911389090541415	-0.030247772252330052	0.2593616631577442	7	0.4
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	0.2545684723609132	-0.4294580305257289	0.6840265028866421	9	0.1
KEGG_BASAL_TRANSCRIPTION_FACTORS	-0.48269916590527046	0.27155727155727216	-0.7542564374625427	1	0.2
KEGG_BASE_EXCISION_REPAIR	-0.37065637065636853	0.24107402333208866	-0.6117303939884572	2	0.4
KEGG_BLADDER_CANCER	-0.33663391819407307	0.24624103635264669	-0.5828749545467198	0	0.1
KEGG_CALCIUM_SIGNALING_PATHWAY	-0.37031581450713213	0.2319977369781315	-0.6023135514852637	1	0.2
KEGG_CARDIAC_MUSCLE_CONTRACTION	0.8128205128205129	-0.8333333333333277	1.6461538461538407	9	0.1
KEGG_CELL_CYCLE	-0.17091900440435007	0.03517039230751675	-0.20608939671186682	2	0.4
KEGG_CHEMOKINE_SIGNALING_PATHWAY	-0.21426083461463885	-0.16050936461346033	-0.053751470001178525	2	0.4
KEGG_CHRONIC_MYELOID_LEUKEMIA	-0.08994246770517846	-0.173787566991381	0.08384509928620255	7	0.4
KEGG_CIRCADIAN_RHYTHM_MAMMAL	0.8615384615384618	-0.9153846153846095	1.7769230769230713	NA	NA
KEGG_CITRATE_CYCLE_TCA_CYCLE	-0.2358974358974324	0.14871794871795102	-0.3846153846153834	3	0.7
KEGG_COLORECTAL_CANCER	0.09885357089392151	-0.2909490609950409	0.3898026318889624	9	0.1
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	-0.11802504458450072	0.29788163627058006	-0.41590668085508076	2	0.4
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	0.3102564102564118	-0.16666666666666333	0.4769230769230751	6	0.7
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	-0.055664218407068915	-0.1507558620735441	0.09509164366647518	4	1
KEGG_DILATED_CARDIOMYOPATHY	0.7125846049117972	-0.6001603509474871	1.3127449558592843	9	0.1
KEGG_DNA_REPLICATION	-0.3798694410444738	0.2790890508696817	-0.6589584919141556	1	0.2
KEGG_DORSO_VENTRAL_AXIS_FORMATION	-0.048927336963581536	0.09697843296374349	-0.145905769927325	4	1
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	-0.27948717948717583	0.2769230769230786	-0.5564102564102544	0	0.1
KEGG_ECM_RECEPTOR_INTERACTION	0.5153846153846162	-0.4564102564102521	0.9717948717948683	9	0.1
KEGG_ENDOCYTOSIS	-0.3046921100025157	0.08043372630839253	-0.38512583631090824	2	0.4
KEGG_ENDOMETRIAL_CANCER	-0.0690240247593721	-0.23379164987522225	0.16476762511585014	9	0.1
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	-0.06972662034348968	-0.14251606178387477	0.07278944144038509	5	1
KEGG_ERBB_SIGNALING_PATHWAY	-0.1828069640132134	-0.019797590831397104	-0.1630093731818163	2	0.4
KEGG_ETHER_LIPID_METABOLISM	-0.2717948717948681	-0.058974358974355955	-0.21282051282051215	3	0.7
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	-0.3065899857320303	0.07854109481859266	-0.38513108055062295	1	0.2
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	-0.2900086438534682	0.047276102025228584	-0.3372847458786968	2	0.4
KEGG_FOCAL_ADHESION	-0.44075810471018523	0.10631004715027255	-0.5470681518604578	0	0.1
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	-0.26666666666666305	0.19487179487179684	-0.4615384615384599	1	0.2
KEGG_GALACTOSE_METABOLISM	-0.26666666666666305	0.19487179487179684	-0.4615384615384599	1	0.2
KEGG_GAP_JUNCTION	-0.17179487179486852	0.14871794871795085	-0.3205128205128194	3	0.7
KEGG_GLIOMA	-0.438926994467143	0.017219847362916506	-0.4561468418300595	0	0.1
KEGG_GLUTATHIONE_METABOLISM	-0.27948717948717583	0.2769230769230786	-0.5564102564102544	0	0.1
KEGG_GLYCEROLIPID_METABOLISM	-0.26666666666666305	0.19487179487179684	-0.4615384615384599	1	0.2
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	0.07149304012213105	-0.2356222501571322	0.30711529027926326	6	0.7
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	0.9333333333333333	-0.8923076923076865	1.8256410256410198	9	0.1
KEGG_GNRH_SIGNALING_PATHWAY	-0.18128150948991695	0.13240924741577398	-0.3136907569056909	3	0.7
KEGG_HEDGEHOG_SIGNALING_PATHWAY	0.725641025641026	-0.7692307692307638	1.4948717948717898	9	0.1
KEGG_HEMATOPOIETIC_CELL_LINEAGE	0.5153846153846162	-0.4564102564102521	0.9717948717948683	9	0.1
KEGG_HOMOLOGOUS_RECOMBINATION	-0.21976106390051	0.35723577134513024	-0.5769968352456403	2	0.4
KEGG_HUNTINGTONS_DISEASE	0.38658008872586785	-0.23268319106365065	0.6192632797895186	7	0.4
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	0.6938114144415823	-0.639807867741511	1.3336192821830934	9	0.1
KEGG_INOSITOL_PHOSPHATE_METABOLISM	-0.423617249377538	0.1994308654208912	-0.6230481147984291	1	0.2
KEGG_INSULIN_SIGNALING_PATHWAY	-0.07132717528748982	-0.15621332308416766	0.08488614779667784	6	0.7
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	-0.5456885456885442	-0.3976833976833964	-0.1480051480051478	4	1
KEGG_JAK_STAT_SIGNALING_PATHWAY	-0.18507733801770368	-0.1288478863230462	-0.056229451694657484	3	0.7
KEGG_LEISHMANIA_INFECTION	0.19146309871552405	-0.33722621450956136	0.5286893132250854	9	0.1
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	-0.2819655269412439	0.24854174450948704	-0.530507271450731	1	0.2
KEGG_LONG_TERM_DEPRESSION	-0.34952123696177234	0.18918918918919	-0.5387104261509623	0	0.1
KEGG_LONG_TERM_POTENTIATION	-0.34952123696177234	0.18918918918919	-0.5387104261509623	0	0.1
KEGG_LYSINE_DEGRADATION	-0.28974358974358605	0.24615384615384797	-0.535897435897434	0	0.1
KEGG_MAPK_SIGNALING_PATHWAY	-0.09186332674129227	-0.12739802188540328	0.035534695144111006	5	1
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	-0.06923076923076632	0.29743589743589904	-0.36666666666666536	2	0.4
KEGG_MELANOGENESIS	-0.2876225979674238	0.23976863373415153	-0.5273912317015753	2	0.4
KEGG_MELANOMA	-0.4448223686754529	0.04872569791193451	-0.49354806658738737	0	0.1
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	-0.27948717948717583	0.2769230769230786	-0.5564102564102544	0	0.1
KEGG_MISMATCH_REPAIR	0.328008046153208	-0.7074710981756329	1.035479144328841	9	0.1
KEGG_MTOR_SIGNALING_PATHWAY	-0.05449485000449577	-0.24453045924247138	0.1900356092379756	8	0.2
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	0.081400633672837	-0.0685820058019134	0.14998263947475038	6	0.7
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	-0.1564102564102532	0.2666666666666687	-0.4230769230769219	3	0.7
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	-0.01154727971403489	-0.16349041164145328	0.1519431319274184	8	0.2
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	0.2519723868696797	-0.28258458784405716	0.5345569747137369	9	0.1
KEGG_NON_HOMOLOGOUS_END_JOINING	0.14102564102564327	0.0205128205128234	0.12051282051281988	5	1
KEGG_NON_SMALL_CELL_LUNG_CANCER	-0.43405536534931954	0.0516666075090187	-0.48572197285833824	0	0.1
KEGG_NOTCH_SIGNALING_PATHWAY	-0.2374871598529257	0.13066903228279794	-0.36815619213572365	2	0.4
KEGG_NUCLEOTIDE_EXCISION_REPAIR	-0.45646511627907205	0.2399020807833527	-0.6963671970624248	0	0.1
KEGG_OXIDATIVE_PHOSPHORYLATION	-0.2358974358974324	0.14871794871795102	-0.3846153846153834	3	0.7
KEGG_P53_SIGNALING_PATHWAY	0.3056336459940084	-0.30702297681600926	0.6126566228100176	8	0.2
KEGG_PANCREATIC_CANCER	-0.14253824690517505	-0.1351234582755755	-0.007414788629599545	5	1
KEGG_PARKINSONS_DISEASE	-0.2358974358974324	0.14871794871795102	-0.3846153846153834	3	0.7
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	-0.19487179487179151	0.28461538461538627	-0.4794871794871778	2	0.4
KEGG_PATHWAYS_IN_CANCER	-0.016979033380593322	-0.13639152328612486	0.11941248990553154	8	0.2
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	-0.26666666666666305	0.19487179487179684	-0.4615384615384599	1	0.2
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	-0.42832332616568547	0.1930245287156467	-0.6213478548813322	1	0.2
KEGG_PRIMARY_IMMUNODEFICIENCY	0.8666666666666667	-0.8794871794871737	1.7461538461538404	NA	NA
KEGG_PRION_DISEASES	0.35229563922075785	-0.39673466920714334	0.7490303084279012	8	0.2
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	-0.4186050583076776	0.04326324456949839	-0.46186830287717595	1	0.2
KEGG_PROSTATE_CANCER	-0.3058122322894196	-0.05756879715570879	-0.24824343513371083	1	0.2
KEGG_PURINE_METABOLISM	-0.37065637065636853	0.24107402333208866	-0.6117303939884572	2	0.4
KEGG_PYRIMIDINE_METABOLISM	-0.37065637065636853	0.24107402333208866	-0.6117303939884572	2	0.4
KEGG_PYRUVATE_METABOLISM	-0.26666666666666305	0.19487179487179684	-0.4615384615384599	1	0.2
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	-0.423508882963559	0.2762934308010438	-0.6998023137646028	0	0.1
KEGG_REGULATION_OF_AUTOPHAGY	0.4033285443565475	-0.3128161211855789	0.7161446655421264	9	0.1
KEGG_RENAL_CELL_CARCINOMA	-0.2695321390841278	0.01220695616449824	-0.28173909524862606	1	0.2
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	0.001190316318249988	-0.10852248318801981	0.1097127995062698	5	1
KEGG_RNA_DEGRADATION	-0.9359893758300124	-0.9358565737051784	-1.3280212483401943e-4	NA	NA
KEGG_SMALL_CELL_LUNG_CANCER	-0.1711372522674042	-0.22497925963553556	0.053842007368131356	6	0.7
KEGG_SPLICEOSOME	0.11072735682110772	0.04075493256069307	0.06997242426041465	4	1
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	-0.05899857895914428	-0.17038135254281855	0.11138277358367427	6	0.7
KEGG_TGF_BETA_SIGNALING_PATHWAY	0.23579682401421984	-0.20549843673968946	0.4412952607539093	8	0.2
KEGG_THYROID_CANCER	-0.24358974358974006	0.22820512820513006	-0.4717948717948701	3	0.7
KEGG_TIGHT_JUNCTION	-0.2868228281347577	-0.12350634597690494	-0.16331648215785274	3	0.7
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	-0.11769192218323986	-0.035642837767048234	-0.08204908441619163	4	1
KEGG_TYPE_II_DIABETES_MELLITUS	-0.07329821144236781	0.15870476743130524	-0.23200297887367305	4	1
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	0.1408918989087915	-0.10154333078215229	0.24243522969094378	7	0.4
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	-0.03177513749853406	0.17479613696667837	-0.20657127446521242	4	1
KEGG_VEGF_SIGNALING_PATHWAY	0.10853734080595408	-0.31353537649433727	0.42207271730029133	9	0.1
KEGG_VIRAL_MYOCARDITIS	0.43517107994884063	-0.33966856559951797	0.7748396455483586	9	0.1
KEGG_WNT_SIGNALING_PATHWAY	0.5162025935316347	-0.4623852483489925	0.9785878418806271	9	0.1
