group1	group2	n1	n2	statistic	p	p.adj	p.adj.signif
Evo-Devo	GTEx	59	2642	114294	8.44e-10	1.01e-9	****
Evo-Devo	PBTA polyA	59	557	21818	3.42e-5	3.42e-5	****
Evo-Devo	PBTA stranded	59	719	8848	9.38e-14	1.88e-13	****
GTEx	PBTA polyA	2642	557	605895.5	5.47e-11	8.2e-11	****
GTEx	PBTA stranded	2642	719	14053	0	0	****
PBTA polyA	PBTA stranded	557	719	7402	9.049999999999996e-192	2.7199999999999988e-191	****
Evo-Devo: 0-4	Evo-Devo: 25-32	10	5	15	0.254	0.364	ns
Evo-Devo: 0-4	Evo-Devo: 39-63	10	4	4	0.024	0.051	ns
Evo-Devo: 0-4	Evo-Devo: 7-19	10	7	29	0.601	0.708	ns
Evo-Devo: 0-4	Evo-Devo: Fetal	10	33	61	0.002	0.005	**
Evo-Devo: 0-4	GTEx: 20-29	10	70	381	0.657	0.757	ns
Evo-Devo: 0-4	GTEx: 30-39	10	67	320	0.826	0.871	ns
Evo-Devo: 0-4	GTEx: 40-49	10	259	1379	0.729	0.788	ns
Evo-Devo: 0-4	GTEx: 50-59	10	775	4317	0.535	0.65	ns
Evo-Devo: 0-4	GTEx: 60-69	10	1317	6876	0.81	0.864	ns
Evo-Devo: 0-4	GTEx: 70-79	10	154	735	0.813	0.864	ns
Evo-Devo: 0-4	PBTA polyA: 0-14	10	438	1839	0.387	0.506	ns
Evo-Devo: 0-4	PBTA polyA: 15-18	10	80	364	0.649	0.754	ns
Evo-Devo: 0-4	PBTA polyA: 19-39	10	39	190	0.913	0.941	ns
Evo-Devo: 0-4	PBTA stranded: 0-14	10	563	21	7.32e-8	3.02e-7	****
Evo-Devo: 0-4	PBTA stranded: 15-18	10	98	2	2.38e-7	9.25e-7	****
Evo-Devo: 0-4	PBTA stranded: 19-39	10	58	0	5.36e-7	1.94e-6	****
Evo-Devo: 25-32	Evo-Devo: 39-63	5	4	8	0.73	0.788	ns
Evo-Devo: 25-32	Evo-Devo: 7-19	5	7	24	0.343	0.462	ns
Evo-Devo: 25-32	Evo-Devo: Fetal	5	33	46	0.123	0.202	ns
Evo-Devo: 25-32	GTEx: 20-29	5	70	241	0.164	0.256	ns
Evo-Devo: 25-32	GTEx: 30-39	5	67	220	0.249	0.36	ns
Evo-Devo: 25-32	GTEx: 40-49	5	259	886	0.159	0.251	ns
Evo-Devo: 25-32	GTEx: 50-59	5	775	2722	0.118	0.198	ns
Evo-Devo: 25-32	GTEx: 60-69	5	1317	4552	0.14	0.226	ns
Evo-Devo: 25-32	GTEx: 70-79	5	154	492	0.293	0.407	ns
Evo-Devo: 25-32	PBTA polyA: 0-14	5	438	1333	0.404	0.518	ns
Evo-Devo: 25-32	PBTA polyA: 15-18	5	80	234	0.532	0.65	ns
Evo-Devo: 25-32	PBTA polyA: 19-39	5	39	132	0.216	0.323	ns
Evo-Devo: 25-32	PBTA stranded: 0-14	5	563	15	1.39e-4	4.11e-4	***
Evo-Devo: 25-32	PBTA stranded: 15-18	5	98	3	2.11e-4	6.11e-4	***
Evo-Devo: 25-32	PBTA stranded: 19-39	5	58	0	2.39e-4	6.77e-4	***
Evo-Devo: 39-63	Evo-Devo: 7-19	4	7	25	0.042	0.086	ns
Evo-Devo: 39-63	Evo-Devo: Fetal	4	33	66	1	1	ns
Evo-Devo: 39-63	GTEx: 20-29	4	70	239	0.018	0.042	*
Evo-Devo: 39-63	GTEx: 30-39	4	67	225	0.024	0.051	ns
Evo-Devo: 39-63	GTEx: 40-49	4	259	884	0.016	0.036	*
Evo-Devo: 39-63	GTEx: 50-59	4	775	2724	0.009	0.022	*
Evo-Devo: 39-63	GTEx: 60-69	4	1317	4562	0.011	0.028	*
Evo-Devo: 39-63	GTEx: 70-79	4	154	497	0.037	0.077	ns
Evo-Devo: 39-63	PBTA polyA: 0-14	4	438	1370	0.052	0.105	ns
Evo-Devo: 39-63	PBTA polyA: 15-18	4	80	242	0.087	0.16	ns
Evo-Devo: 39-63	PBTA polyA: 19-39	4	39	135	0.014	0.032	*
Evo-Devo: 39-63	PBTA stranded: 0-14	4	563	600	0.107	0.182	ns
Evo-Devo: 39-63	PBTA stranded: 15-18	4	98	101	0.103	0.182	ns
Evo-Devo: 39-63	PBTA stranded: 19-39	4	58	59	0.105	0.182	ns
Evo-Devo: 7-19	Evo-Devo: Fetal	7	33	51	0.02	0.045	*
Evo-Devo: 7-19	GTEx: 20-29	7	70	303	0.308	0.423	ns
Evo-Devo: 7-19	GTEx: 30-39	7	67	258	0.671	0.767	ns
Evo-Devo: 7-19	GTEx: 40-49	7	259	1091	0.36	0.478	ns
Evo-Devo: 7-19	GTEx: 50-59	7	775	3416	0.237	0.35	ns
Evo-Devo: 7-19	GTEx: 60-69	7	1317	5529	0.362	0.478	ns
Evo-Devo: 7-19	GTEx: 70-79	7	154	586	0.7	0.78	ns
Evo-Devo: 7-19	PBTA polyA: 0-14	7	438	1505	0.935	0.949	ns
Evo-Devo: 7-19	PBTA polyA: 15-18	7	80	286	0.932	0.949	ns
Evo-Devo: 7-19	PBTA polyA: 19-39	7	39	155	0.59	0.704	ns
Evo-Devo: 7-19	PBTA stranded: 0-14	7	563	93	1.46e-5	4.84e-5	****
Evo-Devo: 7-19	PBTA stranded: 15-18	7	98	14	2.44e-5	7.54e-5	****
Evo-Devo: 7-19	PBTA stranded: 19-39	7	58	9	4.22e-5	1.28e-4	***
Evo-Devo: Fetal	GTEx: 20-29	33	70	1897	1.6e-7	6.4e-7	****
Evo-Devo: Fetal	GTEx: 30-39	33	67	1761	1.57e-6	5.47e-6	****
Evo-Devo: Fetal	GTEx: 40-49	33	259	6948	4.82e-9	2.11e-8	****
Evo-Devo: Fetal	GTEx: 50-59	33	775	21027	3.51e-10	1.65e-9	****
Evo-Devo: Fetal	GTEx: 60-69	33	1317	35256	9.7e-10	4.4e-9	****
Evo-Devo: Fetal	GTEx: 70-79	33	154	3970	4.14e-7	1.56e-6	****
Evo-Devo: Fetal	PBTA polyA: 0-14	33	438	11006	5.41e-7	1.94e-6	****
Evo-Devo: Fetal	PBTA polyA: 15-18	33	80	2005	1.54e-5	4.99e-5	****
Evo-Devo: Fetal	PBTA polyA: 19-39	33	39	1022	9.23e-6	3.14e-5	****
Evo-Devo: Fetal	PBTA stranded: 0-14	33	563	6341	0.002	0.006	**
Evo-Devo: Fetal	PBTA stranded: 15-18	33	98	1068	0.004	0.01	**
Evo-Devo: Fetal	PBTA stranded: 19-39	33	58	522	3.35e-4	0.00093000000000000005	***
GTEx: 20-29	GTEx: 30-39	70	67	2096	0.285	0.402	ns
GTEx: 20-29	GTEx: 40-49	70	259	8816	0.725	0.788	ns
GTEx: 20-29	GTEx: 50-59	70	775	27033	0.963	0.97	ns
GTEx: 20-29	GTEx: 60-69	70	1317	43495	0.426	0.541	ns
GTEx: 20-29	GTEx: 70-79	70	154	4664	0.107	0.182	ns
GTEx: 20-29	PBTA polyA: 0-14	70	438	12032	0.004	0.01	**
GTEx: 20-29	PBTA polyA: 15-18	70	80	2362	0.099	0.18	ns
GTEx: 20-29	PBTA polyA: 19-39	70	39	1157	0.19	0.29	ns
GTEx: 20-29	PBTA stranded: 0-14	70	563	170	9.369999999999999e-42	1.16e-40	****
GTEx: 20-29	PBTA stranded: 15-18	70	98	15	4.5e-28	3.2200000000000004e-27	****
GTEx: 20-29	PBTA stranded: 19-39	70	58	2	2.87e-22	1.7e-21	****
GTEx: 30-39	GTEx: 40-49	67	259	9369	0.314	0.427	ns
GTEx: 30-39	GTEx: 50-59	67	775	28910	0.123	0.202	ns
GTEx: 30-39	GTEx: 60-69	67	1317	46791	0.403	0.518	ns
GTEx: 30-39	GTEx: 70-79	67	154	4996	0.71	0.785	ns
GTEx: 30-39	PBTA polyA: 0-14	67	438	13036	0.141	0.226	ns
GTEx: 30-39	PBTA polyA: 15-18	67	80	2480	0.438	0.552	ns
GTEx: 30-39	PBTA polyA: 19-39	67	39	1280	0.865	0.905	ns
GTEx: 30-39	PBTA stranded: 0-14	67	563	298	1.15e-39	1.3e-38	****
GTEx: 30-39	PBTA stranded: 15-18	67	98	39	5.190000000000001e-27	3.36e-26	****
GTEx: 30-39	PBTA stranded: 19-39	67	58	14	1.3300000000000001e-21	7.240000000000001e-21	****
GTEx: 40-49	GTEx: 50-59	259	775	103513	0.449	0.56	ns
GTEx: 40-49	GTEx: 60-69	259	1317	166250	0.521	0.644	ns
GTEx: 40-49	GTEx: 70-79	259	154	17750	0.062	0.121	ns
GTEx: 40-49	PBTA polyA: 0-14	259	438	45691	1.76e-5	5.57e-5	****
GTEx: 40-49	PBTA polyA: 15-18	259	80	8943	0.064	0.125	ns
GTEx: 40-49	PBTA polyA: 19-39	259	39	4413	0.204	0.308	ns
GTEx: 40-49	PBTA stranded: 0-14	259	563	1052	2.7099999999999995e-114	9.209999999999997e-113	****
GTEx: 40-49	PBTA stranded: 15-18	259	98	126	2.95e-47	4.46e-46	****
GTEx: 40-49	PBTA stranded: 19-39	259	58	50	2.9199999999999996e-32	2.3399999999999997e-31	****
GTEx: 50-59	GTEx: 60-69	775	1317	479976.5	0.023	0.05	ns
GTEx: 50-59	GTEx: 70-79	775	154	51279	0.006	0.015	*
GTEx: 50-59	PBTA polyA: 0-14	775	438	130400.5	1.94e-11	9.42e-11	****
GTEx: 50-59	PBTA polyA: 15-18	775	80	26000	0.017	0.04	*
GTEx: 50-59	PBTA polyA: 19-39	775	39	12484	0.067	0.128	ns
GTEx: 50-59	PBTA stranded: 0-14	775	563	4075	9.849999999999996e-207	6.6999999999999966e-205	****
GTEx: 50-59	PBTA stranded: 15-18	775	98	572	6.07e-57	1.1799999999999998e-55	****
GTEx: 50-59	PBTA stranded: 19-39	775	58	256	3.0600000000000004e-36	2.77e-35	****
GTEx: 60-69	GTEx: 70-79	1317	154	92727	0.082	0.152	ns
GTEx: 60-69	PBTA polyA: 0-14	1317	438	236604	1.7e-8	7.22e-8	****
GTEx: 60-69	PBTA polyA: 15-18	1317	80	46525	0.079	0.149	ns
GTEx: 60-69	PBTA polyA: 19-39	1317	39	22898	0.248	0.36	ns
GTEx: 60-69	PBTA stranded: 0-14	1317	563	5348	8.619999999999996e-252	1.1699999999999993e-249	****
GTEx: 60-69	PBTA stranded: 15-18	1317	98	633.5	2.95e-60	6.690000000000001e-59	****
GTEx: 60-69	PBTA stranded: 19-39	1317	58	242	1.22e-37	1.19e-36	****
GTEx: 70-79	PBTA polyA: 0-14	154	438	30729	0.101	0.181	ns
GTEx: 70-79	PBTA polyA: 15-18	154	80	5905	0.604	0.708	ns
GTEx: 70-79	PBTA polyA: 19-39	154	39	2956	0.881	0.915	ns
GTEx: 70-79	PBTA stranded: 0-14	154	563	983	3.1299999999999996e-77	8.509999999999998e-76	****
GTEx: 70-79	PBTA stranded: 15-18	154	98	124	1.56e-39	1.63e-38	****
GTEx: 70-79	PBTA stranded: 19-39	154	58	53.5	1.56e-28	1.18e-27	****
PBTA polyA: 0-14	PBTA polyA: 15-18	438	80	18024	0.683	0.771	ns
PBTA polyA: 0-14	PBTA polyA: 19-39	438	39	9419	0.287	0.402	ns
PBTA polyA: 0-14	PBTA stranded: 0-14	438	563	4716	1.5599999999999995e-150	7.069999999999999e-149	****
PBTA polyA: 0-14	PBTA stranded: 15-18	438	98	697	9.6e-51	1.63e-49	****
PBTA polyA: 0-14	PBTA stranded: 19-39	438	58	330	1.7e-33	1.45e-32	****
PBTA polyA: 15-18	PBTA polyA: 19-39	80	39	1632	0.686	0.771	ns
PBTA polyA: 15-18	PBTA stranded: 0-14	80	563	1248	1.2999999999999998e-42	1.7699999999999998e-41	****
PBTA polyA: 15-18	PBTA stranded: 15-18	80	98	192	1.1500000000000002e-27	7.82e-27	****
PBTA polyA: 15-18	PBTA stranded: 19-39	80	58	92	7.38e-22	4.1800000000000005e-21	****
PBTA polyA: 19-39	PBTA stranded: 0-14	39	563	116	4.61e-25	2.85e-24	****
PBTA polyA: 19-39	PBTA stranded: 15-18	39	98	10	1.24e-19	6.49e-19	****
PBTA polyA: 19-39	PBTA stranded: 19-39	39	58	1	9.54e-17	4.81e-16	****
PBTA stranded: 0-14	PBTA stranded: 15-18	563	98	26549	0.552	0.664	ns
PBTA stranded: 0-14	PBTA stranded: 19-39	563	58	13627	0.038	0.078	ns
PBTA stranded: 15-18	PBTA stranded: 19-39	98	58	2479	0.184	0.284	ns
