group1	group2	n1	n2	statistic	p	p.adj	p.adj.signif
Evo-Devo	GTEx	59	2642	117246	3.25e-11	4.88e-11	****
Evo-Devo	PBTA	59	721	14284	2.69e-5	2.69e-5	****
GTEx	PBTA	2642	721	164911	1.4799999999999993e-254	4.4399999999999976e-254	****
Evo-Devo: 0-4	Evo-Devo: 25-32	10	5	31	0.513	0.716	ns
Evo-Devo: 0-4	Evo-Devo: 39-63	10	4	27	0.374	0.567	ns
Evo-Devo: 0-4	Evo-Devo: 7-19	10	7	45	0.364	0.561	ns
Evo-Devo: 0-4	Evo-Devo: Fetal	10	33	116	0.166	0.275	ns
Evo-Devo: 0-4	GTEx: 20-29	10	70	464	0.099	0.18	ns
Evo-Devo: 0-4	GTEx: 30-39	10	67	474	0.036	0.084	ns
Evo-Devo: 0-4	GTEx: 40-49	10	259	1818	0.03	0.075	ns
Evo-Devo: 0-4	GTEx: 50-59	10	775	5293	0.047	0.101	ns
Evo-Devo: 0-4	GTEx: 60-69	10	1317	8959	0.049	0.104	ns
Evo-Devo: 0-4	GTEx: 70-79	10	154	1072	0.038	0.087	ns
Evo-Devo: 0-4	PBTA: 0-14	10	564	1747	0.039	0.087	ns
Evo-Devo: 0-4	PBTA: 15-18	10	99	347	0.122	0.211	ns
Evo-Devo: 0-4	PBTA: 19-39	10	58	253	0.527	0.716	ns
Evo-Devo: 25-32	Evo-Devo: 39-63	5	4	10	1	1	ns
Evo-Devo: 25-32	Evo-Devo: 7-19	5	7	18	1	1	ns
Evo-Devo: 25-32	Evo-Devo: Fetal	5	33	29	0.018	0.047	*
Evo-Devo: 25-32	GTEx: 20-29	5	70	180	0.924	0.968	ns
Evo-Devo: 25-32	GTEx: 30-39	5	67	197	0.521	0.716	ns
Evo-Devo: 25-32	GTEx: 40-49	5	259	734	0.611	0.783	ns
Evo-Devo: 25-32	GTEx: 50-59	5	775	2119	0.719	0.872	ns
Evo-Devo: 25-32	GTEx: 60-69	5	1317	3567	0.748	0.873	ns
Evo-Devo: 25-32	GTEx: 70-79	5	154	428	0.675	0.841	ns
Evo-Devo: 25-32	PBTA: 0-14	5	564	342	0.004	0.012	*
Evo-Devo: 25-32	PBTA: 15-18	5	99	81	0.012	0.033	*
Evo-Devo: 25-32	PBTA: 19-39	5	58	70	0.058	0.12	ns
Evo-Devo: 39-63	Evo-Devo: 7-19	4	7	15	0.927	0.968	ns
Evo-Devo: 39-63	Evo-Devo: Fetal	4	33	12	0.005	0.014	*
Evo-Devo: 39-63	GTEx: 20-29	4	70	124	0.711	0.872	ns
Evo-Devo: 39-63	GTEx: 30-39	4	67	147	0.755	0.873	ns
Evo-Devo: 39-63	GTEx: 40-49	4	259	567	0.748	0.873	ns
Evo-Devo: 39-63	GTEx: 50-59	4	775	1606	0.902	0.966	ns
Evo-Devo: 39-63	GTEx: 60-69	4	1317	2663	0.97	0.992	ns
Evo-Devo: 39-63	GTEx: 70-79	4	154	328	0.829	0.898	ns
Evo-Devo: 39-63	PBTA: 0-14	4	564	106	0.002	0.006	**
Evo-Devo: 39-63	PBTA: 15-18	4	99	29	0.004	0.013	*
Evo-Devo: 39-63	PBTA: 19-39	4	58	32	0.017	0.045	*
Evo-Devo: 7-19	Evo-Devo: Fetal	7	33	49	0.016	0.045	*
Evo-Devo: 7-19	GTEx: 20-29	7	70	250	0.936	0.968	ns
Evo-Devo: 7-19	GTEx: 30-39	7	67	273	0.483	0.687	ns
Evo-Devo: 7-19	GTEx: 40-49	7	259	952	0.823	0.898	ns
Evo-Devo: 7-19	GTEx: 50-59	7	775	2859	0.806	0.898	ns
Evo-Devo: 7-19	GTEx: 60-69	7	1317	4837	0.822	0.898	ns
Evo-Devo: 7-19	GTEx: 70-79	7	154	573	0.781	0.888	ns
Evo-Devo: 7-19	PBTA: 0-14	7	564	678	0.003	0.01	**
Evo-Devo: 7-19	PBTA: 15-18	7	99	137	0.008	0.023	*
Evo-Devo: 7-19	PBTA: 19-39	7	58	117	0.07	0.142	ns
