gene	transcript	cell_lines	overall_direction	myeloid_direction	myeloid_corr	myeloid_pval	myeloid_n	cns_direction	cns_corr	cns_pval	cns_n
ABCE1	ABCE1 (ENST00000504292)	Both	positive (concordant)	positive	0.39229284851706847	0.019760972445442768	72	positive	0.4344176960371986	4.54551021124598e-5	173
ABCE1	ABCE1 (ENST00000510321)	Both	positive (concordant)	positive	0.5413771965375199	7.838920675258864e-4	72	positive	0.3468586193646555	0.001410718144971421	173
ABCF3	ABCF3 (ENST00000485921)	Both	positive (concordant)	positive	0.4774943706090715	0.0037236991061314934	72	positive	0.3419513155357304	0.0016646933840938024	173
AC004224.2	AC004224.2 (ENST00000574423)	Both	discordant	negative	-0.3450878658358786	0.04232926593007919	72	positive	0.31831710982724487	0.0035631926297649604	173
AC004801.2	AC004801.2 (ENST00000468202)	Both	positive (concordant)	positive	0.3677903424546676	0.029728707345670274	72	positive	0.3104703302882743	0.004528657825097914	173
AC004980.1	AC004980.1 (ENST00000423084)	Both	discordant	negative	-0.35804277643173194	0.034698391128594935	72	positive	0.30431522072775513	0.005441937207242344	173
AC005280.2	AC005280.2 (ENST00000646944)	Both	discordant	negative	-0.34019386203990887	0.045542445296625024	72	positive	0.33139753824515705	0.0023556042680319476	173
AC007406.4	AC007406.4 (ENST00000570140)	Both	positive (concordant)	positive	0.4140165817923265	0.013417955981380379	72	positive	0.31212064271475326	0.004308197282489817	173
AC010285.3	AC010285.3 (ENST00000649184)	Both	positive (concordant)	positive	0.41804370559896564	0.012454939826626632	72	positive	0.31613627660362936	0.003811135486040286	173
AC010809.3	AC010809.3 (ENST00000621310)	Both	positive (concordant)	positive	0.37273229831847454	0.027441518845756085	72	positive	0.3285543396608064	0.002581274531192745	173
AC010976.1	AC010976.1 (ENST00000619302)	Both	positive (concordant)	positive	0.37338773210423826	0.027149354399158394	72	positive	0.3136610663901991	0.00411108451860424	173
AC012513.3	AC012513.3 (ENST00000623250)	Both	positive (concordant)	positive	0.3516680445774229	0.03829984087582923	72	positive	0.3707707120634005	6.057859319142868e-4	173
AC027514.1	AC027514.1 (ENST00000588561)	Both	positive (concordant)	positive	0.4713095604797616	0.0042646011111226335	72	positive	0.3427686112880343	0.0016197206746464828	173
AC027682.1	AC027682.1 (ENST00000562846)	Both	positive (concordant)	positive	0.4614226645253126	0.005270355812151805	72	positive	0.3282300157530527	0.0026082114802562484	173
AC027682.7	AC027682.7 (ENST00000623147)	Both	positive (concordant)	positive	0.46668368551493933	0.004712357717311843	72	positive	0.33428233076311004	0.0021449026427397687	173
AC040169.2	AC040169.2 (ENST00000563242)	Both	positive (concordant)	positive	0.3667561723258827	0.030226570816486414	72	positive	0.39405629639639245	2.493387417561857e-4	173
AC073254.1	AC073254.1 (ENST00000447488)	Both	positive (concordant)	positive	0.4220789484493275	0.011549171627226835	72	positive	0.3749803722533215	5.184659279856562e-4	173
AC073332.1	AC073332.1 (ENST00000424101)	Both	positive (concordant)	positive	0.383968464008639	0.022776263692328876	72	positive	0.3148104587196261	0.003969280736899562	173
AC079313.2	AC079313.2 (ENST00000552053)	Both	positive (concordant)	positive	0.3361093177018226	0.04837168421696769	72	positive	0.32463272291635303	0.0029243427094969433	173
AC079880.2	AC079880.2 (ENST00000603790)	Both	positive (concordant)	positive	0.3668074393942278	0.030201730289281564	72	positive	0.349676379482871	0.0012812612142493885	173
AC093525.10	AC093525.10 (ENST00000625130)	Both	positive (concordant)	positive	0.3658135221739073	0.03068630606388436	72	positive	0.3386040477599935	0.0018608762144799288	173
AC095057.2	AC095057.2 (ENST00000515422)	Both	discordant	positive	0.33524789090261853	0.04898596977329267	72	negative	-0.3255977050970902	0.0028363378216304976	173
AC104447.1	AC104447.1 (ENST00000624214)	Both	positive (concordant)	positive	0.36471412899057853	0.031229701003846668	72	positive	0.3791389419455775	4.436539593071688e-4	173
AC106886.5	AC106886.5 (ENST00000380361)	Both	positive (concordant)	positive	0.45256227918372555	0.006338941369966941	72	positive	0.3154450480920753	0.0038928710757677	173
AC109587.1	AC109587.1 (ENST00000597366)	Both	positive (concordant)	positive	0.3872736277387658	0.021536376738117865	72	positive	0.3490443393182235	0.001309325174304544	173
AC138409.2	AC138409.2 (ENST00000514048)	Both	positive (concordant)	positive	0.3405651497817779	0.045292002795529834	72	positive	0.3036951632670963	0.0055424199275727745	173
AC139256.1	AC139256.1 (ENST00000569858)	Both	positive (concordant)	positive	0.3385767680471095	0.04664622020083354	72	positive	0.3391515591183395	0.0018274251599817882	173
AC243829.1	AC243829.1 (ENST00000618848)	Both	negative (concordant)	negative	-0.3686740332291327	0.029308631539855596	72	negative	-0.3441290882036799	0.0015472863142094668	173
AC245060.5	AC245060.5 (ENST00000610778)	Both	positive (concordant)	positive	0.3716042108099787	0.027950425529383646	72	positive	0.33689015621796164	0.0019691865584999806	173
AC245060.6	AC245060.6 (ENST00000624350)	Both	positive (concordant)	positive	0.3790849899749296	0.02471599479214928	72	positive	0.3159900903430101	0.0038282928635561143	173
ACAD8	ACAD8 (ENST00000524739)	Both	positive (concordant)	positive	0.50678933065607	0.0018914209285400788	72	positive	0.3976782970763179	2.1588480759267314e-4	173
ACIN1	ACIN1 (ENST00000457657)	Both	positive (concordant)	positive	0.4193583717541881	0.012153479128413431	72	positive	0.30650958908493753	0.005099166164687424	173
ACO2	ACO2 (ENST00000678454)	Both	positive (concordant)	positive	0.4977177278099608	0.0023477524775946056	72	positive	0.35296828684644854	0.001143707318468479	173
ACOT8	ACOT8 (ENST00000493118)	Both	positive (concordant)	positive	0.36255831661263965	0.0323181055521842	72	positive	0.3007925069356804	0.006034974265859461	173
ACTL6A	ACTL6A (ENST00000429709)	Both	positive (concordant)	positive	0.3343848899883013	0.049607622040165174	72	positive	0.3438089455929056	0.0015640629010335895	173
ACTR10	ACTR10 (ENST00000557583)	Both	discordant	negative	-0.3623269097652809	0.032436754804388256	72	positive	0.3103285569202374	0.0045480565697358895	173
ACTR1A	ACTR1A (ENST00000470322)	Both	positive (concordant)	positive	0.41139373970011767	0.01407830298381542	72	positive	0.3075583343461665	0.004942215241484594	173
ACTR8	ACTR8 (ENST00000335754)	Both	positive (concordant)	positive	0.3487984969417774	0.040017014495657664	72	positive	0.37281294963817085	5.618731951530641e-4	173
ADNP	ADNP (ENST00000349014)	Both	positive (concordant)	positive	0.3760912861801225	0.025971146211775542	72	positive	0.3654736783838983	7.346767568304026e-4	173
ADNP	ADNP (ENST00000396029)	Both	positive (concordant)	positive	0.3594489565158408	0.03394231947374077	72	positive	0.4165069237490773	9.93589101493654e-5	173
AF117829.1	AF117829.1 (ENST00000504145)	Both	discordant	negative	-0.35222300192430533	0.0379747433972715	72	positive	0.4201897094006042	8.490302175675919e-5	173
AHDC1	AHDC1 (ENST00000673934)	Both	positive (concordant)	positive	0.34716817975535713	0.041020022715883606	72	positive	0.31318947587979673	0.00417055885667248	173
AL049539.1	AL049539.1 (ENST00000611964)	Both	positive (concordant)	positive	0.5163263978183085	0.0014972808807056414	72	positive	0.34463163587114065	0.00152127877023185	173
AL110115.1	AL110115.1 (ENST00000614396)	Both	positive (concordant)	positive	0.4095275484840591	0.014564618959881308	72	positive	0.3273089348801305	0.002686092580256883	173
AL133243.3	AL133243.3 (ENST00000617415)	Both	positive (concordant)	positive	0.5226116280506827	0.0012787922766029432	72	positive	0.3026077016230362	0.0057226190887256735	173
AL671986.1	AL671986.1 (ENST00000422197)	Both	positive (concordant)	positive	0.45325653788388887	0.006248981962648274	72	positive	0.3288334675264089	0.0025582914667293404	173
ALG1	ALG1 (ENST00000544428)	Both	positive (concordant)	positive	0.3543367427958934	0.03675693167576185	72	positive	0.3552197028733317	0.0010574944981432241	173
ALG13	ALG13 (ENST00000482374)	Both	positive (concordant)	positive	0.39117434430630543	0.02014567286646617	72	positive	0.34155238890058504	0.0016870515088434712	173
ALG8	ALG8 (ENST00000299626)	Both	positive (concordant)	positive	0.3628066135211473	0.03219119078225198	72	positive	0.3095257467692976	0.00465930379125022	173
ALG8	ALG8 (ENST00000526849)	Both	positive (concordant)	positive	0.4033278751204176	0.01628276306815053	72	positive	0.3937667962629871	2.5220857273657954e-4	173
ALG8	ALG8 (ENST00000530454)	Both	positive (concordant)	positive	0.4227852285302531	0.011396512613791336	72	positive	0.3298551036069778	0.0024757286000791053	173
AMD1	AMD1 (ENST00000619590)	Both	positive (concordant)	positive	0.3393139231229887	0.046140429773986226	72	positive	0.3153275326814336	0.003906921198415728	173
ANAPC15	ANAPC15 (ENST00000538919)	Both	positive (concordant)	positive	0.3631898967899748	0.03199607859509107	72	positive	0.4732228130274875	7.12891135026392e-6	173
