Geneset	logFC	AveExpr	t	P.Value	adj.P.Val	B
HALLMARK_KRAS_SIGNALING_DN	0.12418191743684981	-9.410150466859637e-4	6.023263802808783	2.6972905577918136e-9	8.361600729154622e-8	10.719510054059644
HALLMARK_G2M_CHECKPOINT	-0.29428651342513973	-0.07352176927784344	-5.476227203290282	5.96402195346945e-8	9.244234027877646e-7	7.744936445019617
HALLMARK_DNA_REPAIR	-0.21987751909422737	-0.03300424965206811	-5.25939038209531	1.8960212085014997e-7	1.5780948938761628e-6	6.637913393897888
HALLMARK_E2F_TARGETS	-0.3064469599040891	-0.06958944765749199	-5.245759746184215	2.0362514759692424e-7	1.5780948938761628e-6	6.56970700264727
HALLMARK_MYC_TARGETS_V2	-0.27046361433004157	-0.045671070811994716	-5.160644600119804	3.167799359410551e-7	1.9640356028345417e-6	6.147514578062651
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-0.23020784517231832	-0.02584197233580786	-5.009269881756099	6.844784461367531e-7	3.5364719717065576e-6	5.412539770171611
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	-0.207704228094477	-0.03131318108559381	-4.785620068591118	2.0600258864072444e-6	9.122971782660654e-6	4.36409148880632
KEGG_SPLICEOSOME	-0.24227955944470517	-0.023391142072185872	-4.567856734990764	5.774695076613098e-6	2.1632685984116298e-5	3.3864932462349575
HALLMARK_BILE_ACID_METABOLISM	0.16167926514815048	-0.0071110743379947435	4.549722725159033	6.280457221195054e-6	2.1632685984116298e-5	3.30702117798371
HALLMARK_MYC_TARGETS_V1	-0.239896214557672	-0.02726029885272324	-4.233811959458048	2.5881154172261402e-5	8.023157793401035e-5	1.9706421948999004
HALLMARK_GLYCOLYSIS	-0.13489183075883643	-0.03057179454630679	-3.9284178041070557	9.354285116631758e-5	2.636207623778041e-4	0.7658837910595393
HALLMARK_WNT_BETA_CATENIN_SIGNALING	-0.10452912496951901	-0.03961019266535215	-3.261793182944947	0.0011580725188685371	0.0029916873404103876	-1.5621319661189883
HALLMARK_TNFA_SIGNALING_VIA_NFKB	-0.1613197165502726	-0.02281843646121728	-3.088550618715052	0.0020868735741486235	0.004976390830662102	-2.09860127330938
HALLMARK_P53_PATHWAY	-0.11539146800485946	-0.027570823786143176	-2.9543479595904008	0.0032331215625529893	0.0071590548885101905	-2.494571367576331
HALLMARK_APOPTOSIS	-0.11958364445276919	-0.026235133685286176	-2.9084851634366826	0.0037410759106101038	0.007731556881927549	-2.6259553411028946
HALLMARK_TGF_BETA_SIGNALING	-0.11007015723344654	-0.03395182843850968	-2.577851142531319	0.01013479204605989	0.019636159589241038	-3.5135594510205657
HALLMARK_IL6_JAK_STAT3_SIGNALING	-0.13490795238753928	-0.0028624439545094425	-2.5274135302569563	0.011698617704449797	0.021332773461055513	-3.6397347045244035
HALLMARK_PI3K_AKT_MTOR_SIGNALING	-0.09140995218746145	-0.028255858772180696	-2.4267968759399237	0.0154715676844159	0.02664547767871627	-3.8841168058341484
HALLMARK_FATTY_ACID_METABOLISM	0.09005934423376886	-0.009376375050555722	2.3359948911021746	0.019758774870604425	0.030918947486703433	-4.096273913928057
HALLMARK_INTERFERON_GAMMA_RESPONSE	-0.13307427310917247	-0.006861177319655912	-2.329787063901728	0.020086630245897817	0.030918947486703433	-4.11048742442916
HALLMARK_MITOTIC_SPINDLE	-0.07371149372847341	-0.05726697767841987	-2.3139423776325185	0.020945093458734583	0.030918947486703433	-4.146596654112253
HALLMARK_HEDGEHOG_SIGNALING	0.06746999821156441	-0.029993933463353648	2.069256536578693	0.03887007612095683	0.0547714708977119	-4.6733501092258685
HALLMARK_IL2_STAT5_SIGNALING	-0.08329376757753598	-0.01872058297528513	-1.9702259873718697	0.049186472920508345	0.06629481132764169	-4.87002049803709
