gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Significant
EEF1A1	278635.9582656053	0.1699423944739418	0.06373165840693537	2.6665302413572283	0.0076638711026791985	0.01187035674550312	P-Adj < 0.05
ACTB	188038.9566681661	-0.38024014749443386	0.06648768863340504	-5.718955724133744	1.071807163571368e-8	3.2232449006671795e-8	P-Adj < 0.05
RPL13A	44104.07489255335	0.42633271898560193	0.07196831492964766	5.923894694524414	3.1440483155958907e-9	1.0093620046952003e-8	P-Adj < 0.05
RPL3	47631.6733654976	0.2014646156032877	0.06264604507776801	3.2159191430710763	0.001300274619279339	0.0022259548884061816	P-Adj < 0.05
RPLP0	32932.58842108168	0.29757273383479765	0.08242137631150918	3.61038297528702	3.0574522612433996e-4	5.623528266215539e-4	P-Adj < 0.05
RPS3A	26896.983210369297	0.6065870432519671	0.08181808124870216	7.413850752722084	1.2268397941297968e-13	6.318224939768454e-13	P-Adj < 0.05
RPL4	34865.94198071605	0.33307848655757943	0.05883133300548433	5.66158319966215	1.4998275743117004e-8	4.41377829011729e-8	P-Adj < 0.05
RPL10	28720.071041893447	0.3418922437292686	0.07091463829659322	4.821180110929132	1.4271142956701963e-6	3.334429620885374e-6	P-Adj < 0.05
HNRNPA1	30573.834474040435	0.31429420995341206	0.05178935200778335	6.068703271401759	1.2894713592084427e-9	4.366538630086671e-9	P-Adj < 0.05
EEF1G	43517.08095251175	0.3118202767108776	0.06537559533017877	4.769673991281189	1.8452430460731015e-6	4.2550753823625995e-6	P-Adj < 0.05
LRP1	200243.26763890908	-1.2962369732347032	0.12182676113003377	-10.640001927418425	1.9412532734472106e-26	2.856415530929467e-25	P-Adj < 0.05
RPS4X	22707.818004098757	0.21463738607222393	0.07426259693279796	2.8902488592804603	0.003849369651614006	0.006203156309510967	P-Adj < 0.05
RPS6	26561.45164804088	0.4144206161648232	0.07713951931405455	5.372351550151768	7.771640430985048e-8	2.1158034301095856e-7	P-Adj < 0.05
HSP90AB1	38458.39248175621	0.13377532164811826	0.04102468939518208	3.260849103804032	0.001110791358909889	0.001914836986907424	P-Adj < 0.05
HSP90AA1	37742.51837007574	0.18722458911166168	0.05864479603274348	3.1925183780522914	0.0014103796939687664	0.002392308919649685	P-Adj < 0.05
RPS11	23891.076969501482	0.4627365899420654	0.07290321230478891	6.34727298445351	2.1916503806276214e-10	8.038219200165401e-10	P-Adj < 0.05
RPS18	23808.438610840123	0.6101610295368889	0.09469359835338136	6.443529870518444	1.1672628354475543e-10	4.4666775994216014e-10	P-Adj < 0.05
RPL7A	26809.201128548302	0.3346449240916909	0.06386930687349608	5.2395264716824235	1.609891531598491e-7	4.242699217602846e-7	P-Adj < 0.05
RPL15	29506.890654614504	-0.10904893086759682	0.05080461407477178	-2.1464375402419917	0.031838086965122726	0.04512829757900423	P-Adj < 0.05
TUBB	27608.86506187685	0.56787568753053	0.0796051160030955	7.133658187351272	9.773586614153594e-13	4.6107454408755125e-12	P-Adj < 0.05
