gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Significant
EEF1A1	185325.25215723924	-0.35234795306445255	0.1162558427973816	-3.0307978041030412	0.0024390852385690995	0.005471341841871882	P-Adj < 0.05
ACTB	125337.52318043391	-0.6709836947489597	0.1620316728798829	-4.141065032676496	3.456969218130408e-5	1.2208039867454812e-4	P-Adj < 0.05
TPT1	25509.908432355645	-0.4373578424283483	0.12144542135749416	-3.601270739889938	3.166655960444204e-4	8.490209906961033e-4	P-Adj < 0.05
EEF2	75343.99682841518	-0.703428732912901	0.14263331340106117	-4.931728192662652	8.150527880590568e-7	4.1954553135409245e-6	P-Adj < 0.05
RPL13A	24701.384929865842	-0.6356995470213185	0.14883075657448108	-4.271291510254388	1.943441676994876e-5	7.391058193125129e-5	P-Adj < 0.05
RPL3	26655.274264646447	-0.5152548368103131	0.13220575588204803	-3.897370680819795	9.724271859752044e-5	3.050558380368915e-4	P-Adj < 0.05
RPLP0	22157.796075542807	-0.8820920438520706	0.14136844089722267	-6.239667341973213	4.385024228219337e-10	4.201465074479922e-9	P-Adj < 0.05
RPS3A	16846.87400008476	-0.32266084616822993	0.13202054370858027	-2.4440199767732027	0.014524622263267062	0.02703679686355134	P-Adj < 0.05
RPL4	23029.920660149764	-0.408138082381237	0.1275907420907648	-3.1988064000043046	0.001379978052669945	0.00330552882383731	P-Adj < 0.05
RPL10	18032.56543969919	-0.5352620812160336	0.12501453663870538	-4.281598729297795	1.8555536367517574e-5	7.167075921953663e-5	P-Adj < 0.05
EEF1G	29966.159739034574	-0.47173861058961264	0.12109735131661402	-3.8955320282458747	9.798341263156332e-5	3.0660126079142344e-4	P-Adj < 0.05
LRP1	81724.34683943918	-1.2635694687936616	0.29625771398191036	-4.265102338806327	1.9981059484707677e-5	7.575640958005733e-5	P-Adj < 0.05
RPS4X	15200.859487465174	-0.39217638497850155	0.13405953771924797	-2.9253896563466495	0.0034402515697205855	0.007459913930130954	P-Adj < 0.05
RPS6	15770.107611011324	-0.3822914126361431	0.12418852500578782	-3.07831510695796	0.0020817466491054406	0.004764886774619119	P-Adj < 0.05
HSP90AB1	27265.119576349352	-0.332601854810315	0.1250022093364596	-2.6607678102318504	0.007796269925041311	0.015393274165097538	P-Adj < 0.05
RPS11	14621.181534467096	-0.4166628791518814	0.13641857806814608	-3.0542971862948387	0.002255884881081141	0.0051067284121177475	P-Adj < 0.05
RPS2	21510.637170751368	-0.970091840922081	0.15457751576130427	-6.2757629150935434	3.4792400722868904e-10	3.386095062477635e-9	P-Adj < 0.05
RPS18	13658.20588146537	-0.39318191657239054	0.13047502934198757	-3.0134648641605057	0.0025828294726700013	0.005783292080108917	P-Adj < 0.05
AHNAK	38226.4732328361	-0.5384885976521061	0.23287722706451106	-2.312328278895795	0.020759599437295956	0.03729486177979332	P-Adj < 0.05
PABPC1	20683.01666958299	-0.2648241033779245	0.09851518802379196	-2.6881550823814906	0.007184801956509202	0.014346389690218697	P-Adj < 0.05
RPL7A	17487.640754133292	-0.5081044786208382	0.12572963767937478	-4.0412466622751575	5.316779797619662e-5	1.8004218711939457e-4	P-Adj < 0.05
RPL15	20265.606927215063	-0.42909853286756855	0.11185890276734073	-3.8360695684639934	1.250190078223316e-4	3.7596957096934757e-4	P-Adj < 0.05
TUBB	21758.518925358327	-0.4211424294443484	0.14612588162140894	-2.882052274185538	0.003950941814847555	0.008463369294890085	P-Adj < 0.05
RPL13	21157.122678168904	-0.776247526677498	0.15353248975351425	-5.055917010944781	4.283275776328439e-7	2.3529461597964225e-6	P-Adj < 0.05
RPS3	12071.487223230286	-0.5336902073017241	0.10656000727665398	-5.008353705496126	5.489757912336398e-7	2.92471585329646e-6	P-Adj < 0.05
SPTBN1	65491.8073896928	-0.5527052355652198	0.14512823647776565	-3.8083921432470302	1.3987333197038217e-4	4.186039668653568e-4	P-Adj < 0.05
RPS8	14561.838130616035	-0.37656778457229567	0.11998766936152222	-3.1383873574350285	0.0016988021498710246	0.003978939570056597	P-Adj < 0.05
HSPA8	29287.608223741594	-0.4996106083573034	0.1141058207607776	-4.3784848575318085	1.1950724286612403e-5	4.780289714644961e-5	P-Adj < 0.05
RPSA	13345.562955050449	-0.5736472745263823	0.11766403236078804	-4.875298449465279	1.086440728107953e-6	5.471398282790434e-6	P-Adj < 0.05
RPL19	14099.536826157995	-0.3712345141198232	0.11814698703133056	-3.1421411874124066	0.0016771713996242433	0.003941033935238716	P-Adj < 0.05
RPL18A	10745.500464092353	-0.8563400634869531	0.1550464483475252	-5.523119507823423	3.330330437200878e-8	2.2493379346340356e-7	P-Adj < 0.05
RPL37A	13099.354964625581	-0.317890507930894	0.1312301117777691	-2.422389980656451	0.015418793832229497	0.028486740174343286	P-Adj < 0.05
SRRM2	43265.89793276455	0.527078791925517	0.15032531610199398	3.5062543395411865	4.5446073108707386e-4	0.0011900708975076766	P-Adj < 0.05
RPS27	8477.948441345803	-0.521688519125061	0.19561330667468615	-2.666937786561999	0.007654584011436463	0.015161964484191456	P-Adj < 0.05
ENO1	19639.79499946166	-0.5516804315022815	0.18382073899779128	-3.0011871049485355	0.0026892926414645714	0.005978355584262968	P-Adj < 0.05
RPL23A	10269.803787932084	-0.5244499792871999	0.11361995410091574	-4.615826361110746	3.915342145007309e-6	1.7189189844113636e-5	P-Adj < 0.05
RPL27A	12563.009464859608	-0.2780567573937387	0.1233733929955102	-2.2537822024871903	0.02420987299125587	0.042747718595988936	P-Adj < 0.05
RPL32	11071.931288374353	-0.3740328237206152	0.11918609296724375	-3.1382253953354415	0.0016997411755581581	0.003978939570056597	P-Adj < 0.05
RPL28	8972.100611152437	-0.8817647058982816	0.15662758884772532	-5.629689586523233	1.8053423452460214e-8	1.2847605805198754e-7	P-Adj < 0.05
RPS20	12770.4558237023	-0.2177885658157016	0.0859950237186964	-2.532571727965599	0.011322920102746563	0.021664286760053796	P-Adj < 0.05
DDX5	25052.91480637467	0.6648390501319175	0.10526458162845514	6.315885550930628	2.6861879534617354e-10	2.656102648382964e-9	P-Adj < 0.05
RPS14	8016.793943827428	-0.4454528707140771	0.1220510381034405	-3.649726193533459	2.6251998578971045e-4	7.275217543409913e-4	P-Adj < 0.05
RPL8	14182.674253578149	-0.6054910986202802	0.12607049153676333	-4.802797952474972	1.5646374689141097e-6	7.49173940822055e-6	P-Adj < 0.05
HNRNPA2B1	25181.027963362227	1.1003337449162396	0.13800518379176005	7.973133433716262	1.5470098901234527e-15	3.354568814372961e-14	P-Adj < 0.05
PPIA	14303.435640103706	-0.43441094296107075	0.09547054496372942	-4.550209105081672	5.359263030616902e-6	2.3080310473318786e-5	P-Adj < 0.05
MACF1	70745.8167119154	0.8457801388377141	0.11862158901398043	7.130069204670936	1.0031847565991036e-12	1.4090185899505592e-11	P-Adj < 0.05
RPS27A	10192.484180181196	-0.27662709673148206	0.10898911351429678	-2.538116769756047	0.011145079117877023	0.021357081844489922	P-Adj < 0.05
RPS12	7530.808304332768	-0.5231260029337094	0.1340217838684555	-3.9032908519346807	9.48935534914574e-5	2.9844384762198813e-4	P-Adj < 0.05
CANX	28653.226022200866	-0.3639982248716266	0.1528894009922376	-2.380794368408228	0.017275352318912075	0.031493120156600773	P-Adj < 0.05
RPS17	8885.79954895154	-0.29073061073031276	0.12530673686011107	-2.320151478007733	0.02033268439270946	0.036687880159691814	P-Adj < 0.05
RPL29	8613.288038050114	-0.5711138699642145	0.1244756105860758	-4.588158815009669	4.471724035250524e-6	1.9530215221094162e-5	P-Adj < 0.05
RPS10	9047.065726722514	-0.6755508484027124	0.11728811961794587	-5.759755127827529	8.423604897893677e-9	6.348521740119869e-8	P-Adj < 0.05
RPL10A	7850.000003839258	-0.364635462753484	0.12265293297424616	-2.9729045519852977	0.0029499617113376148	0.00649938088273314	P-Adj < 0.05
ALDOA	18692.68265324572	-0.8221965885118828	0.2163977142869321	-3.7994698383075014	1.4500595801797688e-4	4.318731665306492e-4	P-Adj < 0.05
RPS19	11149.308836266968	-0.7081457913043783	0.16714189325967785	-4.236794124404088	2.2673385233099284e-5	8.492213378215369e-5	P-Adj < 0.05
HLA-A	21911.16904926752	-1.1816252222171142	0.23168633114516832	-5.100107616951904	3.394604171913834e-7	1.8814936127737663e-6	P-Adj < 0.05
MYH9	19906.52302515461	-0.5136866916997308	0.21128466205436747	-2.4312540565180716	0.015046659808998143	0.02784082563461333	P-Adj < 0.05
HNRNPU	30777.720657576003	0.7364327323421226	0.1128507968581872	6.52572026821887	6.767552137255263e-11	7.337451264603075e-10	P-Adj < 0.05
HSPA5	13506.182083462698	-0.58903078153029	0.18229761596874638	-3.231149120629614	0.0012329359784371198	0.0029939270517647942	P-Adj < 0.05
YWHAE	21329.235167417617	-0.3542734355484364	0.13551181367648035	-2.6143361669870755	0.008940102529643208	0.01742896960037698	P-Adj < 0.05
CALR	18540.30434105035	-0.6591135663999166	0.14965274877079968	-4.404286401777894	1.0613265343064296e-5	4.329371605289594e-5	P-Adj < 0.05
DDX17	37077.63736465268	1.1919898179511366	0.13428830364661315	8.87634876294157	6.909097065398743e-19	2.5877709008584384e-17	P-Adj < 0.05
RPS9	7841.724870325155	-0.760365433100784	0.13423780077367695	-5.664316822224683	1.4761145291057482e-8	1.0607427662643633e-7	P-Adj < 0.05
RPS5	6874.250939248323	-0.6894763207507552	0.16001497972806514	-4.3088235984060645	1.6412520520363006e-5	6.399329767561096e-5	P-Adj < 0.05
RPL24	6288.851896647281	-0.47629258609509706	0.13173291534142512	-3.615592844511509	2.9966104895562563e-4	8.158173050862407e-4	P-Adj < 0.05
RPS25	7288.002442510784	-0.4526295753399636	0.12485331513621842	-3.6252908050229364	2.8863646729370513e-4	7.910303183481587e-4	P-Adj < 0.05
PLEC	31735.693125383033	-0.9777121343866868	0.22988782328451618	-4.252996615556451	2.1092876572042885e-5	7.972720318974008e-5	P-Adj < 0.05
RPS16	7826.206282421516	-0.49034708293209883	0.13589572475683004	-3.60825981692595	3.0825770656401393e-4	8.282750550285244e-4	P-Adj < 0.05
NAP1L1	12277.80417597853	0.37153451283108135	0.15410839094269513	2.410864915001518	0.01591474173580706	0.029228262682700634	P-Adj < 0.05
YBX1	15556.420481294479	-0.5760718487720563	0.15373064298852943	-3.7472805523557184	1.7876211078213957e-4	5.260713545874393e-4	P-Adj < 0.05
HNRNPK	16708.36016101603	-0.18173786903034225	0.07351409912761256	-2.4721498486278786	0.013430320801373923	0.02530468980258867	P-Adj < 0.05
CLTC	23056.139867008525	-0.2890785193852703	0.10330752829382757	-2.7982328505921887	0.005138305543510876	0.010638099919228547	P-Adj < 0.05
MAP4	26201.179177873175	-0.47211105999894865	0.15939909984004677	-2.9618176041941324	0.0030582889419829263	0.00666674626506331	P-Adj < 0.05
RPS15	8322.39939570172	-0.9252187627927356	0.14869039412100057	-6.222451478875061	4.89446174085742e-10	4.5829959937119475e-9	P-Adj < 0.05
SON	19070.59107379677	0.18848697558079486	0.07385028255570025	2.5522850970628572	0.01070189076680834	0.02053965370772532	P-Adj < 0.05
MATR3	15101.703761345634	0.3274872040273096	0.1274497404798952	2.5695399833236197	0.010183363962182154	0.019605354917846016	P-Adj < 0.05
EIF4A2	10666.804216833452	0.5981615173313546	0.12341884703230017	4.846597839103201	1.255966620781889e-6	6.140999254483017e-6	P-Adj < 0.05
RPL35	6590.4268346042445	-0.6670746527878936	0.15304782984917087	-4.3586024933858765	1.308956173854875e-5	5.218934938337502e-5	P-Adj < 0.05
HDLBP	14926.452322116926	-0.5864883238049263	0.10300559965293307	-5.693751852142401	1.2427767152020528e-8	9.089183550235131e-8	P-Adj < 0.05
SFPQ	15984.187394206121	0.8625870520332239	0.10933426747924768	7.889448312231554	3.0352531000622683e-15	6.252621386128273e-14	P-Adj < 0.05
P4HB	12878.227338050545	-0.541074715424261	0.15740331388392062	-3.4375052346311112	5.87099371428326e-4	0.0014961955115163112	P-Adj < 0.05
HSPA1A	14210.724890265074	1.3540700832040329	0.372109744850489	3.6388998190522757	2.738052801894716e-4	7.537267846641134e-4	P-Adj < 0.05
HNRNPH1	11596.01130492214	0.9379452140393146	0.1092752838310315	8.583324436746613	9.216992916544824e-18	2.531600721077645e-16	P-Adj < 0.05
RPS28	5087.465568558583	-0.8761958196321664	0.14115967106004193	-6.207125682940127	5.396244171299376e-10	4.97743119084032e-9	P-Adj < 0.05
PFN1	7396.696342509336	-0.6049816901594589	0.1809269357639492	-3.343790064232134	8.264224974118826e-4	0.002057883589220673	P-Adj < 0.05
DDX3X	15240.726191444945	0.5339764816698279	0.12851003938571914	4.1551343709973745	3.2509642983735316e-5	1.1579803667981801e-4	P-Adj < 0.05
SF3B1	12884.04235313485	0.5979054948744753	0.09020503917285418	6.628293722357872	3.395892435789585e-11	3.850755092326539e-10	P-Adj < 0.05
ILF3	14093.031547094462	0.33536050923388894	0.1003041965432411	3.343434480224515	8.274823170248177e-4	0.002057883589220673	P-Adj < 0.05
EIF3L	7118.107361616177	-0.423703328109706	0.10830418514176711	-3.91216025082586	9.147417696172675e-5	2.899027762171648e-4	P-Adj < 0.05
RPS26	3602.0558536419917	-0.5887043714351573	0.1842337070338615	-3.19542162459422	0.0013962670013066513	0.003338077395773735	P-Adj < 0.05
HNRNPA3	12675.853429626386	0.7535143904637783	0.132800374176608	5.67403815791737	1.3947004414986947e-8	1.0140292621719921e-7	P-Adj < 0.05
SNRNP200	17333.12525311415	-0.33426563336168147	0.0953941500442484	-3.5040475040307295	4.582436061453293e-4	0.0011974399517877949	P-Adj < 0.05
RPL36	6686.541716265463	-0.7975408993584253	0.19369372799428805	-4.117536007061336	3.8294471266875644e-5	1.3184391778790612e-4	P-Adj < 0.05
HSPG2	12949.015918911304	-1.519515838101328	0.3395549667832929	-4.475021680572551	7.64035595212344e-6	3.179622881085715e-5	P-Adj < 0.05
PDIA3	7615.0354437691885	-0.3964976353621746	0.14206594713965337	-2.7909407098972867	0.005255509839187673	0.010862558798053451	P-Adj < 0.05
UBA1	12755.975671635251	-0.2916400971152921	0.1272774201653699	-2.2913734167173403	0.02194182570892762	0.03930448779164426	P-Adj < 0.05
GANAB	11025.549613832352	-0.49890517706138227	0.12434029887500295	-4.012417386602252	6.0100114776500326e-5	2.0131095356031004e-4	P-Adj < 0.05
ARF1	8591.406717478849	-0.7446131507563603	0.12400009060281572	-6.004940376547209	1.9140222798784026e-9	1.6203640670751407e-8	P-Adj < 0.05
ZFP36L2	8379.034604507231	-0.6031827960857761	0.2093430449724877	-2.8813128048512318	0.003960223976883129	0.008468575839840047	P-Adj < 0.05
HSPA1B	8241.181746171058	0.7577775447253268	0.34249134197489306	2.212545112398424	0.026929022733659054	0.047172088556716535	P-Adj < 0.05
HNRNPUL1	11747.456521359949	-0.37818592286225877	0.10465003463546872	-3.6138155537129784	3.0172374208314607e-4	8.165495335705399e-4	P-Adj < 0.05
EIF3E	6555.6647417864915	0.8163096675420887	0.1620563144894047	5.037197532932043	4.723972065667449e-7	2.5608901198091966e-6	P-Adj < 0.05
HNRNPDL	9323.032274231491	0.3749114745135955	0.09341412271630681	4.0134346243573855	5.984158182329013e-5	2.00989660689094e-4	P-Adj < 0.05
EIF4H	11087.072615010657	-0.2813266102625577	0.09750300537446677	-2.8853121930150167	0.003910256880942392	0.008390759557022216	P-Adj < 0.05
EIF3C	9614.19369179609	-0.7450590808664189	0.12655089876869477	-5.887426230201742	3.9225616112332375e-9	3.10787573813095e-8	P-Adj < 0.05
PEBP1	10323.537036644531	-0.4041808630057054	0.17867834752194522	-2.262058434114766	0.023693793251475435	0.04200748875530838	P-Adj < 0.05
CIRBP	10938.870925249197	0.5341755993597203	0.12653482880404213	4.221569700678776	2.4260691067441544e-5	9.031992216674021e-5	P-Adj < 0.05
CTNNA1	12060.814100471423	-0.6394484007972497	0.15355125022781002	-4.16439722795196	3.121762026992544e-5	1.1151727934574521e-4	P-Adj < 0.05
ACTN4	11266.205241603144	-0.5505870514335972	0.19919004623971645	-2.764129341940058	0.005707491043050119	0.011679567763592628	P-Adj < 0.05
EIF4G1	14745.023391399203	-0.38301846419169994	0.11349668069192315	-3.3747107127420772	7.389332246565404e-4	0.0018639213585213959	P-Adj < 0.05
FUS	10571.020531388422	0.48169367033746396	0.13888977040790368	3.468172414158247	5.240109721730304e-4	0.0013521452225592184	P-Adj < 0.05
FASN	19186.935518795137	-0.8978672819953027	0.22401302456543223	-4.008103027656964	6.120841876484742e-5	2.039885597146788e-4	P-Adj < 0.05
RPS21	4259.91418824065	-0.349954151254016	0.13858730540750946	-2.5251530089642213	0.011564792489639219	0.021990897718760116	P-Adj < 0.05
PRDX1	5771.172411743978	-0.5304330914906762	0.15767380014459037	-3.364116872963405	7.678901781176202e-4	0.0019330188597828483	P-Adj < 0.05
FAU	4910.721893524201	-0.8428826490130525	0.1372815093042247	-6.139811933048974	8.261923589485511e-10	7.294098254717208e-9	P-Adj < 0.05
POLR2A	11713.444721756185	-0.3300543914183214	0.1417943838769545	-2.327697207702768	0.019928187525878258	0.03606330861198467	P-Adj < 0.05
RBM39	9023.286113037726	1.2677733959510185	0.1107275811416016	11.449481537303281	2.3655610500405765e-30	4.873055763083588e-28	P-Adj < 0.05
VCP	10080.043361637758	-0.28385016308078476	0.10384377496154845	-2.733434557689082	0.006267757733829353	0.012658412678125947	P-Adj < 0.05
PPIB	6412.7197197067435	-0.7527903822705873	0.15462815221730297	-4.868391502296887	1.1251026584021104e-6	5.60736647493955e-6	P-Adj < 0.05
TRIM28	7432.233620638271	-0.59986103353322	0.14244903525673003	-4.211057185835728	2.5417838759105652e-5	9.406122367142092e-5	P-Adj < 0.05
SRSF3	5814.8967223005975	0.4720725635028518	0.09513656652796895	4.9620517192416065	6.975241507754256e-7	3.653134959145873e-6	P-Adj < 0.05
DCN	1737.7142021346745	0.6672290016908813	0.2594076262620201	2.57212562061276	0.010107620899980095	0.019489889910102025	P-Adj < 0.05
PPP2R1A	9643.566038589039	-0.5841958878428758	0.13949098187015596	-4.188054883624447	2.813554849468009e-5	1.0198104967573194e-4	P-Adj < 0.05
SYNE1	23020.837139079475	0.6237946523880707	0.23598041775331785	2.6434170187805774	0.008207388074907621	0.016127713291869347	P-Adj < 0.05
TAGLN2	6413.291395080538	-0.8329856690495071	0.25630920097768434	-3.249924957325396	0.0011543546523062663	0.0028141663713028503	P-Adj < 0.05
RBMX	7859.366853225167	0.5728832785703265	0.10927271507145882	5.242692818565823	1.58249877227857e-7	9.541309670908842e-7	P-Adj < 0.05
EWSR1	8521.717220462706	0.42626232081873106	0.08128015585575996	5.244359048414937	1.5682654087288662e-7	9.501843358769013e-7	P-Adj < 0.05
SEC61A1	9390.210727490157	-0.852785844049609	0.14048759069699054	-6.070186269255146	1.277619752163023e-9	1.0966236206065948e-8	P-Adj < 0.05
LGALS1	3216.102151716363	-1.0543649271372844	0.28534881224689457	-3.6950037353756637	2.1988355469546353e-4	6.204933187296643e-4	P-Adj < 0.05
BCLAF1	7917.7836907169785	0.475140803377761	0.12310282961624455	3.8597065953637655	1.1352324665928634e-4	3.464561305453776e-4	P-Adj < 0.05
PCBP1	6235.821233992849	-0.5234678265790916	0.1415023370820393	-3.6993581687318624	2.1614538940188698e-4	6.127424341759916e-4	P-Adj < 0.05
XRCC6	6177.833765864126	-0.5775845418605887	0.06650703821790459	-8.68456267693327	3.802022695562559e-18	1.0928604771430984e-16	P-Adj < 0.05
DDX1	3753.595323323006	0.3015150496829601	0.1282423123229756	2.3511354733186716	0.018716218189856283	0.03396952376308717	P-Adj < 0.05
CCT3	6400.267596987208	-0.710940179891901	0.0991809958973009	-7.168108904936378	7.604080437267421e-13	1.0928655140072712e-11	P-Adj < 0.05
PARP1	9998.861360307064	-0.34218359384154745	0.1202303363992601	-2.8460670084563886	0.004426287957013534	0.009320088441002943	P-Adj < 0.05
XPO1	11123.004222463562	1.0316998477568486	0.14457485333712683	7.1360947214733095	9.601985482955118e-13	1.3641441444750031e-11	P-Adj < 0.05
EIF3H	3944.593575306002	-0.21099198037972178	0.08335457678182524	-2.531258492643763	0.011365405526901663	0.02169039350281828	P-Adj < 0.05
EZR	7669.59815709464	-0.6062076597976793	0.22821693620354602	-2.6562781443047876	0.007900841849541288	0.015550064531899733	P-Adj < 0.05
HNRNPD	5790.792635572301	0.5647595398407637	0.12489589642976909	4.521842238094162	6.130374382455891e-6	2.6038291191462135e-5	P-Adj < 0.05
SF3B2	8473.929161009664	-0.3286463397197386	0.1058294855407508	-3.1054326498940577	0.0019000088487904415	0.004389553153467263	P-Adj < 0.05
MAZ	7740.750859632713	-0.7496694858909645	0.13951831670655013	-5.373269285263452	7.732172123899877e-8	5.003646463424214e-7	P-Adj < 0.05
HSPB1	5021.693606230623	-0.8495828069059805	0.3512144714502748	-2.4189857650164197	0.015563849261728388	0.02871181744402431	P-Adj < 0.05
FSCN1	12577.054613627479	-1.4291268866609017	0.2140144507148111	-6.677712097886844	2.427012210539115e-11	2.829987822855043e-10	P-Adj < 0.05
EIF5A	6224.821299571153	-0.747879092422206	0.1410312998344914	-5.302929869467888	1.139587095289932e-7	7.186375764175285e-7	P-Adj < 0.05
PDIA6	6486.579693800853	-0.35147111719580326	0.1507976639772523	-2.330746431515162	0.019766734285296513	0.03582358295693033	P-Adj < 0.05
GDI2	5716.191805579763	-0.34225685853346227	0.10209765379214594	-3.3522499863732524	8.015760371938682e-4	0.0020055627165417433	P-Adj < 0.05
TRA2B	6564.281978869892	1.2690488157183217	0.1375605797404011	9.225381414597269	2.825534883904017e-20	1.2472718273233448e-18	P-Adj < 0.05
LUC7L3	8091.8075573437545	2.057775047875026	0.16477541534971685	12.488362074570624	8.641437132673489e-36	1.0680816295984433e-32	P-Adj < 0.05
ZNF207	8865.122546073217	1.3435230100061233	0.12487626215367943	10.758834279910715	5.38469884759559e-27	6.772770057256481e-25	P-Adj < 0.05
PTBP1	6350.503624953464	-0.43570155638737085	0.13334003093115315	-3.2675975349993327	0.0010846448580739759	0.002649448704702439	P-Adj < 0.05
SRSF5	5536.763822195531	0.9940815347307106	0.11313912402487328	8.786364074307	1.5447839629324252e-18	5.024613100485467e-17	P-Adj < 0.05
TPR	10118.842837359816	0.3038988218970242	0.11349941428222302	2.6775364773368944	0.007416577625418952	0.014737765184916115	P-Adj < 0.05
SRP14	3320.9310374563984	-0.3293543793842394	0.13046373392083502	-2.5244899060154955	0.01158663323557735	0.021998584760635338	P-Adj < 0.05
KHSRP	10109.285541992196	-0.44453248631808723	0.11267422195718749	-3.9452900459077056	7.970344236155517e-5	2.5788862502325186e-4	P-Adj < 0.05
MSI2	16952.77956780803	0.8381741911375997	0.15815778946663236	5.299607398182782	1.1605195554020264e-7	7.244455406449013e-7	P-Adj < 0.05
SRSF1	7986.014369003322	0.7819006928726295	0.12406938291078774	6.302124460753192	2.9359325304116723e-10	2.880010006022879e-9	P-Adj < 0.05
GRN	5032.849749613725	-1.134936366422367	0.2371979373154488	-4.7847649067581	1.7118758271502598e-6	8.106814261906977e-6	P-Adj < 0.05
RPN1	5392.455198955181	-0.7459462240700112	0.1325096116729657	-5.629374463122039	1.8086435356833196e-8	1.2847605805198754e-7	P-Adj < 0.05
ILF2	4179.631655665086	-0.3277620076304976	0.1001578099368142	-3.2724558158497112	0.0010661753553417885	0.0026094905726781197	P-Adj < 0.05
SYNCRIP	8226.420804987303	0.6801767927275708	0.1468629060178453	4.631372285694269	3.6325003927780515e-6	1.609236733144685e-5	P-Adj < 0.05
SLC25A5	3700.6497105406374	-0.925019244023887	0.14012506753254406	-6.6013830381137995	4.0733957344595935e-11	4.577015570720052e-10	P-Adj < 0.05
ZC3H11A	5727.038776517344	0.4111331115227986	0.10582487903185994	3.885032662300721	1.0231613190620325e-4	3.185459421563406e-4	P-Adj < 0.05
ZYX	6483.709531466188	-0.7353633378032416	0.24045408253686817	-3.0582277083629483	0.0022265031972672354	0.005068062526376249	P-Adj < 0.05
HNRNPR	7972.93905585741	0.8013916163693232	0.13196816005037412	6.072613394499254	1.2584517399816426e-9	1.0877247207114057e-8	P-Adj < 0.05
