gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Significant
EEF1A1	197404.5098368937	-0.4838198476696238	0.2069637193232504	-2.3377036770099795	0.019402625301062962	0.04378028273060361	P-Adj < 0.05
ACTB	109303.08279135707	-0.6943613642288741	0.20650349214219843	-3.362467903209774	7.724910597847347e-4	0.002832467219210694	P-Adj < 0.05
TPT1	23809.24180527467	-0.41756312520060435	0.18266957618298585	-2.2858931077954563	0.02226051276219196	0.04922795222607647	P-Adj < 0.05
EEF2	83130.90695631597	-0.7014703336777506	0.23795884536533787	-2.9478640838115693	0.0031997771347795586	0.009591546058511962	P-Adj < 0.05
RPL13A	28517.351708958522	-0.7299762032090894	0.23927285213436056	-3.050810807400669	0.0022822433287600506	0.00710867389167768	P-Adj < 0.05
RPLP0	24582.44470841428	-1.2799254827345055	0.21236697744657904	-6.026951544556738	1.6708106801375656e-9	2.5102911682066837e-8	P-Adj < 0.05
RPS3A	17609.536333225908	-0.4836756466030284	0.18899099837465608	-2.559252296472814	0.010489758148508988	0.026775475375866272	P-Adj < 0.05
RPL10	18170.301615310113	-0.7288905427068824	0.19348529045791027	-3.7671625630137564	1.6511349140779612e-4	7.424081073518423e-4	P-Adj < 0.05
EEF1G	32361.164186298323	-0.5364158489905358	0.18740005289897144	-2.8624103392314466	0.004204321967739425	0.012185556153017302	P-Adj < 0.05
LRP1	57835.03302407935	-0.8409966899775405	0.24345067888965216	-3.454484882988293	5.513451244718549e-4	0.0020836110225439424	P-Adj < 0.05
RPS4X	15744.24552455319	-0.57231766524296	0.20326151151382074	-2.815671599510099	0.004867539437338212	0.013729786559693221	P-Adj < 0.05
RPS2	24530.814554413526	-1.0270963649027047	0.22278733210627244	-4.610209903733514	4.022626069537383e-6	2.8319287529543175e-5	P-Adj < 0.05
AHNAK	40653.99496007747	-1.109050812464143	0.28476015908867425	-3.8946839193146565	9.832686223002842e-5	4.713567870326654e-4	P-Adj < 0.05
PABPC1	24400.477072687638	-0.4607113756566449	0.1912105857619723	-2.409444925973709	0.01597680722498665	0.03720874574892921	P-Adj < 0.05
RPL15	19887.787015029342	-0.5561913009851083	0.17078829178833838	-3.2566125883758366	0.001127502052592207	0.003923961945744629	P-Adj < 0.05
TUBB	24092.903780357265	-0.5832018467411625	0.19359982132807776	-3.0124090132958234	0.002591831202406964	0.00798284010341345	P-Adj < 0.05
