gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Significant
RPL18A	11364.328860521833	-0.8763091963813041	0.2226978518276494	-3.934969238318017	8.320735276578573e-5	0.00669677187177751	P-Adj < 0.05
RPS10	9122.949622154561	-0.656358373738173	0.17543361182811237	-3.7413490316853566	1.8303511438103927e-4	0.011274963045872019	P-Adj < 0.05
DDX17	37463.46972703837	1.1131594080667206	0.30200783635603407	3.685862663359596	2.2792924779065709e-4	0.01289137036307326	P-Adj < 0.05
HSPA1A	12619.056770124651	1.4018039769077186	0.4347037630552823	3.2247339361758596	0.0012608979261190334	0.029873581634204793	P-Adj < 0.05
HSPA1B	10935.199628970619	1.9604700808466584	0.46570857244057395	4.209649976105649	2.5576661822855536e-5	0.003938805920719752	P-Adj < 0.05
RBM39	7918.882515545998	0.9365258303776411	0.26395343532937937	3.548072140864465	3.8806191724877534e-4	0.016180574742293095	P-Adj < 0.05
DCN	3316.0533079921197	2.1307381320179024	0.5279844623288038	4.035607643868465	5.446116289086922e-5	0.005591346056795907	P-Adj < 0.05
ZFP36	7595.3294359774845	1.4898530456907175	0.4557449081426405	3.26905033730935	0.0010790910245137466	0.027696669629186165	P-Adj < 0.05
TRA2B	6210.185643946238	1.0986161099786174	0.3241389116790486	3.3893373192615326	7.006176684294396e-4	0.02066998834122838	P-Adj < 0.05
LUC7L3	5564.607365154787	1.140192779934486	0.31162633664787026	3.658846014747702	2.533535046894134e-4	0.013012868541375395	P-Adj < 0.05
ZNF207	7428.619897076355	0.9611119583353853	0.27751882490431456	3.463231579575786	5.337288204331092e-4	0.01777172721009704	P-Adj < 0.05
SRSF5	5334.742253595015	1.1834301411219408	0.3339188216755209	3.5440653964451156	3.940075018415526e-4	0.016180574742293095	P-Adj < 0.05
SRSF11	4388.031391532108	0.8144503923213848	0.2387291841284599	3.411607991267335	6.458091445771601e-4	0.019890921652976533	P-Adj < 0.05
SCG3	5127.718132912504	-1.534328169525138	0.4716665506987414	-3.252993385373919	0.0011419615543139846	0.02871217622275161	P-Adj < 0.05
SNRNP70	7870.596676492498	1.250313983943549	0.3580578312915772	3.4919330752617475	4.7953838250973163e-4	0.016879751064342554	P-Adj < 0.05
RBM25	4301.713203520563	0.9377139167755795	0.27415208456076434	3.4204150527541954	6.252565972845331e-4	0.019890921652976533	P-Adj < 0.05
CLK1	2632.8474068478013	1.0531163669577406	0.3367549923699804	3.1272479720232926	0.001764510321932515	0.038138188010892256	P-Adj < 0.05
PABPN1	4549.543737244812	0.9406123683844564	0.29607902734253766	3.176896306458916	0.0014886024983826126	0.03396219033346998	P-Adj < 0.05
RBM5	5795.178063950592	1.058946881151366	0.3100628614127514	3.41526513793508	6.371995389242478e-4	0.019890921652976533	P-Adj < 0.05
TAF15	4756.999182144785	0.844343573625588	0.2600943577210113	3.2462971554779676	0.001169167329173618	0.02880828299083795	P-Adj < 0.05
MDN1	7632.813906195969	0.645079374140755	0.1843611859229301	3.4989977467948292	4.6701052759384325e-4	0.016879751064342554	P-Adj < 0.05
SRSF4	4156.138935937295	0.7237150302250038	0.21950593440153282	3.2970180610294704	9.771721726809816e-4	0.02561438546261637	P-Adj < 0.05
TIA1	2573.194738178316	0.9142193843837374	0.30105216612782865	3.0367474054166217	0.002391457652692985	0.04686607885509252	P-Adj < 0.05
TPD52L2	3616.000295827482	0.9058629741554548	0.2266260083376453	3.997171290268806	6.410391599610004e-5	0.006075078808245788	P-Adj < 0.05
CDK12	3947.841701160284	0.6441137845863583	0.18257992076580729	3.5278456792220543	4.1895632978376763e-4	0.016650135428825864	P-Adj < 0.05
CDK13	5006.756102391374	0.632489975148287	0.2052195695829058	3.0820158936780637	0.002056038592247679	0.04293287365507018	P-Adj < 0.05
DNM1	4188.5023289670335	1.217299675763543	0.4029828539878828	3.0207232484391153	0.0025217173230806596	0.04779624218515958	P-Adj < 0.05
RBM6	3773.5494736516475	1.075767645606726	0.27059864913626236	3.9755100368775813	7.022858178154649e-5	0.006180115196776091	P-Adj < 0.05
ARHGEF1	3430.0375139416333	1.15638367288844	0.3813872037499732	3.032046333800263	0.002429019160188742	0.04686607885509252	P-Adj < 0.05
ZRANB2	2139.6817899914986	0.7833338365490305	0.24618046048523806	3.181949676286361	0.001462872343328428	0.03396219033346998	P-Adj < 0.05
RBM14	3031.675058079546	0.8574113439291301	0.22020804670348712	3.893642202292658	9.875027063438246e-5	0.007156490201268188	P-Adj < 0.05
LARP4B	4475.247604603546	0.5830822160203265	0.1537062491066592	3.7934841257866916	1.4854813178008646e-4	0.009632173597529816	P-Adj < 0.05
DAZAP1	3184.303412236628	0.8690944616034594	0.24858205737860778	3.4962075331115634	4.7192150820314654e-4	0.016879751064342554	P-Adj < 0.05
PRPF38B	2221.703057914142	0.730906321376353	0.2199085085602028	3.32368368173557	8.883689789283032e-4	0.02455782287997338	P-Adj < 0.05
BUD31	1287.877412746593	-0.5907320515355438	0.18882425656104357	-3.1284754527529173	0.001757156876913136	0.038138188010892256	P-Adj < 0.05
ZFC3H1	2676.314482452248	0.8014281465730702	0.24295067772013532	3.2987277668608423	9.712405158139901e-4	0.02561438546261637	P-Adj < 0.05
LUC7L	2843.6476384209163	1.0578683361349295	0.2891377291236429	3.6587004378199195	2.534974391177025e-4	0.013012868541375395	P-Adj < 0.05
SECISBP2	2859.910027691899	1.2078929677485688	0.2832169994995376	4.2649027773156	1.9998926619100407e-5	0.003938805920719752	P-Adj < 0.05
RBMS2	3449.5033997640207	0.7520423153781969	0.23862833296057395	3.1515214729444927	0.0016242221946318725	0.03638257715975394	P-Adj < 0.05
SUCLG1	1539.481085508292	-0.6160698269313121	0.18185166868132394	-3.387760098099018	7.046586934509675e-4	0.02066998834122838	P-Adj < 0.05
LAS1L	2118.1274531280883	1.2385052251095094	0.25152453780047995	4.923993642687637	8.479559227485764e-7	8.445219572378923e-4	P-Adj < 0.05
POLR2J	1256.5205545998629	-0.7687616796872132	0.2152809281088803	-3.5709697391234068	3.556619887556145e-4	0.016180574742293095	P-Adj < 0.05
RARS2	1704.4557536613413	1.1582539796310336	0.30021707405935405	3.858054986579619	1.1429293843102715e-4	0.007822716674834748	P-Adj < 0.05
SLC16A3	2226.5341051720125	1.6050250990482033	0.4832976722338849	3.3209866118938693	8.969984006483783e-4	0.02455782287997338	P-Adj < 0.05
RSRC1	1113.3464115046734	0.6458566156727685	0.18458871561511545	3.498895441796341	4.671897466489549e-4	0.016879751064342554	P-Adj < 0.05
PDCD7	1340.9987315963094	0.5589166042041923	0.18075349479680947	3.0921482587791043	0.0019871357583172494	0.0422095043835664	P-Adj < 0.05
