gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Significant
DDX5	29216.00072144584	0.501714713122424	0.1465075026747568	3.424498431566463	6.159354000480807e-4	0.009269076629991848	P-Adj < 0.05
DDX17	35748.47668313583	0.6576106532871102	0.16895448110799377	3.8922356422542768	9.932470203341826e-5	0.00274883768162034	P-Adj < 0.05
MAP4	33666.9580207849	-0.6836176225865854	0.2037483166197361	-3.3552062364394852	7.930583646244293e-4	0.01113686770349387	P-Adj < 0.05
HDLBP	20664.789772959764	-0.3666484733171176	0.12208156034744046	-3.003307561548583	0.0026706238664010915	0.02670718142440839	P-Adj < 0.05
SFPQ	17415.679309021856	0.5116579467110256	0.14693337097791725	3.4822446616835814	4.972291674483476e-4	0.008073431481990275	P-Adj < 0.05
HSPA1A	20045.393849891312	1.6382113335698518	0.4504325993979812	3.6369732913634096	2.758605227722256e-4	0.005490514275821393	P-Adj < 0.05
HNRNPH1	12756.384356509172	0.5550686544385206	0.13774633224092728	4.029643805452979	5.5861433807536896e-5	0.00168129291020733	P-Adj < 0.05
SF3B1	14985.863293053579	0.3552797394029083	0.11691456906158218	3.038797835501344	0.0023752418913854647	0.024223541272476556	P-Adj < 0.05
PRKDC	26419.177141351247	-0.33749071255532787	0.12225889881478091	-2.7604592862121033	0.005772015191949484	0.046859649650431996	P-Adj < 0.05
EIF3C	14009.521519018688	-0.5696863306188354	0.19038300015493612	-2.9923172245169867	0.0027686840085049576	0.02674517176812177	P-Adj < 0.05
CAPRIN1	16730.95858372516	-0.5253538772647064	0.12580150445432042	-4.176054010987339	2.966094219715691e-5	0.0010457600763226181	P-Adj < 0.05
RBM39	9026.301403857175	0.7419074640804973	0.13523609057919894	5.486016794059945	4.110978315263682e-8	8.728541312471826e-6	P-Adj < 0.05
DCN	4285.004211234602	1.724158654118737	0.4822950192568903	3.5749045403273776	3.503557037132303e-4	0.00645281997585263	P-Adj < 0.05
SEC61A1	12721.12251758695	-0.6949518415409333	0.21199734018258692	-3.2781158525026406	0.0010450249592920137	0.013955825654122492	P-Adj < 0.05
MAZ	11608.44533780963	-0.5543592047508215	0.1708632181161885	-3.24446192025865	0.0011767274997269114	0.01466749226932332	P-Adj < 0.05
FSCN1	21048.444016909158	-1.0735753350499007	0.30304897291102134	-3.542580345141492	3.962326996722891e-4	0.00698501644850864	P-Adj < 0.05
TRA2B	6148.616585080068	0.4642543454914832	0.14100186895945868	3.292540367851203	9.928664339616089e-4	0.013463705269325553	P-Adj < 0.05
LUC7L3	8839.303028807239	1.8084294707585622	0.27304892906298167	6.623096735682228	3.517506580671762e-11	4.340603120548954e-8	P-Adj < 0.05
ZNF207	8524.072336755691	0.6461311962852155	0.1424444512311348	4.536022222703382	5.732514246921886e-6	2.829569032280643e-4	P-Adj < 0.05
SRSF5	6656.031364580943	0.7135885425154397	0.16365745151258534	4.360256963066325	1.299097980610991e-5	5.009646587731134e-4	P-Adj < 0.05
RPN1	7652.412740278831	-0.4979089655833459	0.1662471664783284	-2.994992192232354	0.0027445186689935815	0.02674517176812177	P-Adj < 0.05
CHD2	11814.76144974158	0.5334694449342235	0.1537416738531682	3.4699078757508284	5.20636904729844e-4	0.008132480258691488	P-Adj < 0.05
SMG1	12899.406812033138	0.42823968045077004	0.1380306954955072	3.1024959985419254	0.001918961421821661	0.020955738004671945	P-Adj < 0.05
SRSF11	5197.147063856349	0.7795320660598652	0.1464625237358487	5.322399520206165	1.0240735210415613e-7	1.2637067249652866e-5	P-Adj < 0.05
ACIN1	8933.456806622466	0.5732349422242071	0.18784126751407013	3.0516986486011084	0.0022755042440811206	0.02381797945661573	P-Adj < 0.05
HNRNPF	6795.12146838779	-0.4806202219935142	0.14171446371551286	-3.391469080801403	6.951900652336021e-4	0.010335717355400783	P-Adj < 0.05
RBFOX2	7851.1571132724675	0.7752575789789915	0.21397909199740206	3.623052942894084	2.911462008027521e-4	0.005702768441120573	P-Adj < 0.05
SNRNP70	9236.786834965991	1.0359470123849792	0.26219817225617775	3.951007756731496	7.782280179886843e-5	0.002233333428367527	P-Adj < 0.05
SF3A1	8376.037714055527	-0.3458262548542212	0.12485265756227668	-2.769874999911176	0.005607780939699887	0.04627101466879369	P-Adj < 0.05
DHX15	5521.620922397731	0.4386188675823517	0.11825866392447766	3.7089787168783035	2.0809691708057878e-4	0.004755399919952485	P-Adj < 0.05
