gene_symbol	cluster	pearson_r	pearson_pvalue	pearson_fdr
RBM6	6	0.7590304688497078	6.374606053010208e-14	6.7788706244304e-11
CLK1	6	0.7540749293036085	1.1441131855578734e-13	6.7788706244304e-11
CLK4	6	0.7409110429210198	5.07102103803909e-13	1.3198939613582023e-10
RBM25	6	0.740895475377033	5.079687822863257e-13	1.3198939613582023e-10
TCERG1	6	0.740055148085316	5.569172832735031e-13	1.3198939613582023e-10
DNM1	9	0.7271618969685024	1.7341837577252142e-5	8.061244811300801e-5
DDX55	6	0.7117567739482302	1.0181496939423752e-11	1.7968672344806542e-9
RBM39	6	0.7113250427970835	1.0614405604527072e-11	1.7968672344806542e-9
RBM28	6	0.7067134921949709	1.6482826074936137e-11	2.088149588243001e-9
ZNF638	6	0.7051660067397986	1.9070019511470455e-11	2.088149588243001e-9
PRPF39	6	0.7048637265998066	1.9618795250308955e-11	2.088149588243001e-9
NOM1	6	0.7039007247876095	2.1469526690599208e-11	2.088149588243001e-9
SRSF11	6	0.7025995648865627	2.4236694770595132e-11	2.088149588243001e-9
ZFC3H1	6	0.7025273876194622	2.4399771381099296e-11	2.088149588243001e-9
RBM33	6	0.7018556979385088	2.5968512953186198e-11	2.088149588243001e-9
LUC7L3	6	0.701664548998192	2.6432273268898746e-11	2.088149588243001e-9
CHD2	6	0.6926350875911343	6.005139586528102e-11	4.447556506272375e-9
CHD2	4	0.6860015902355092	3.9598812475963395e-10	3.7744776406554894e-7
RBM5	6	0.683892137454616	1.2926345530469028e-10	9.010423208003411e-9
CIRBP	4	0.6802515141588642	6.30129823147828e-10	3.7744776406554894e-7
MSI2	11	0.6751590136931348	3.3242740573062756e-6	0.002053989306225512
PRPF3	6	0.672623009837013	3.3423674705445246e-10	2.2003919181084785e-8
THOC1	6	0.6688665367486287	4.5459945008643887e-10	2.8352649913285793e-8
TFB1M	11	0.6660733346765528	5.013131440388755e-6	0.002053989306225512
RNU4ATAC	3	0.665295900208344	5.319823369647483e-4	0.003254640656404844
NOP58	6	0.6628727410447907	7.359193640647167e-10	4.360322232083447e-8
ZCCHC8	6	0.6584120461626217	1.0458528799921663e-9	5.90159839424151e-8
PRPF3	4	0.6529815748720272	4.984514440939087e-9	1.5285175898960486e-6
RBM5	4	0.6526535875362796	5.103564573943401e-9	1.5285175898960486e-6
TFB1M	6	0.6493146117241817	2.103761652366104e-9	1.1331625263881062e-7
CDK12	6	0.6480711615883633	2.3104358289773963e-9	1.1903767205818323e-7
