gene_symbol	clusters	pearson_r	pearson_pvalue	pearson_fdr
TFB1M	8	0.7207138912060775	2.3669330173290114e-8	2.8166502906215235e-5
MSI2	8	0.676915953279146	3.3010381244999635e-7	1.9641176840774782e-4
LUC7L3	7	0.6751520893921112	1.3764543174284894e-12	1.63109836615276e-9
SRSF8	10	-0.6715531801540299	8.236772234101028e-7	5.594609581707267e-4
RBM6	7	0.6667793366250462	3.2528051670742557e-12	1.9272870614914964e-9
LGALS3	10	-0.664874002694366	1.1568703275681886e-6	5.594609581707267e-4
DDX55	10	0.6609498393889689	1.4068590733547193e-6	5.594609581707267e-4
ZFP36L2	6	-0.6604817856161601	3.6842657872812e-10	4.2950543377660617e-7
RBM25	7	0.660205182019233	6.269580838965055e-12	2.476484431391197e-9
PEBP1	8	-0.6565555085503305	9.71189247195401e-7	3.8523840138750905e-4
APOBEC3C	10	-0.6528197862817966	2.0912044903932198e-6	6.237017392597778e-4
ACTB	6	-0.6508054128748479	8.051150369274136e-10	4.2950543377660617e-7
RBM28	7	0.6486657836845273	1.9085289754905597e-11	5.654017089890783e-9
TRMT1	2	0.6483104571079287	6.579332400184493e-8	6.107605613187436e-5
PPIB	6	-0.6442977654105693	1.341005029610983e-9	4.2950543377660617e-7
CSTB	6	-0.6434409933036073	1.4328788449594868e-9	4.2950543377660617e-7
CHD2	2	0.6411579630048401	1.0179342688645726e-7	6.107605613187436e-5
POLR2G	5	-0.6393215396519539	1.705009911394259e-8	8.333118237839227e-6
MRPL42	5	-0.6379681970454781	1.867460688570015e-8	8.333118237839227e-6
ZCCHC17	5	-0.6353875860646816	2.218635976648318e-8	8.333118237839227e-6
RBM5	7	0.6342572135122677	7.180030350277927e-11	1.7016671930158687e-8
MBNL2	10	-0.6336393056887515	5.092285097564895e-6	0.0012150192242789837
HMG20B	6	-0.6329705475337841	3.167880865283759e-9	6.530652994974386e-7
PFN1	6	-0.6325515263924396	3.2680498723808435e-9	6.530652994974386e-7
ERH	5	-0.6307971127630636	3.0026377449824415e-8	8.333118237839227e-6
SNRNP70	2	0.6296010387233131	2.0129095825562253e-7	6.350692704715692e-5
TOP3B	2	0.6287280319556962	2.1168975682385638e-7	6.350692704715692e-5
PDIA6	6	-0.6276890322679299	4.6741654847996505e-9	7.958566214676989e-7
POLR2K	5	-0.6270701568817876	3.8249589791568356e-8	8.333118237839227e-6
RPS27L	6	-0.62593508492561	5.3101359230538715e-9	7.958566214676989e-7
PPIL1	5	-0.6254396352071598	4.247978710878111e-8	8.333118237839227e-6
DNAJC2	8	0.6254262047860067	4.359204581144155e-6	0.0010687567132436737
AKAP8L	8	0.6240549244486432	4.639878037982766e-6	0.0010687567132436737
PTCD2	5	-0.6207155042629138	5.737195355211337e-8	9.646684190119633e-6
CWC25	7	0.6192654002197647	2.6538467400873334e-10	5.2413473116724835e-8
KRI1	8	0.618933606783601	5.842222491772515e-6	0.0010687567132436737
CNN3	6	-0.6186045131457241	8.973577130491149e-9	1.195479886606543e-6
RBM28	8	0.6172842752410025	6.286804195551022e-6	0.0010687567132436737
DDX17	2	0.6163990658938262	4.2419093382521665e-7	7.79502545182501e-5
JUN	10	-0.6162177927483685	1.0862569969071107e-5	0.002159840995516972
DAZAP1	2	0.6155344620568569	4.44883256720962e-7	7.79502545182501e-5
AKAP8	2	0.6151369894983838	4.547098180231256e-7	7.79502545182501e-5
CALR	6	-0.6145048694879652	1.1963480294786102e-8	1.4344212873448538e-6
MRPS14	5	-0.612630060378481	9.486961938663852e-8	1.3957692752259193e-5
RBM5	2	0.6068174077757145	7.134649147944917e-7	9.956354175642007e-5
DUS3L	2	0.6059624585107515	7.467265631731505e-7	9.956354175642007e-5
PUS1	8	0.6057193063577501	1.0393805923025032e-5	0.0015460786310499736
