gene_symbol	plot_groups	pearson_r	pearson_pvalue	pearson_fdr
MRPL42	Neurofibroma plexiform	-0.9272574991641427	1.1212626497994092e-4	0.13410301291600935
RPL22L1	Germ cell tumor	-0.8997257043571353	0.0023348646696377843	0.9965170093839139
PAK1IP1	Neurofibroma plexiform	-0.8959296841306879	4.5184601457911813e-4	0.18611610296796566
GSPT2	Other CNS embryonal tumor	-0.892658762250494	0.002848421736852938	0.6083615623598504
SLC25A11	Choroid plexus tumor	-0.8906992260477988	1.4133664452859774e-7	1.1501058309240572e-4
MRPS24	Choroid plexus tumor	-0.8866705233848738	1.9280902446337924e-7	1.1501058309240572e-4
TACO1	Choroid plexus tumor	-0.8803374147361525	3.070871762314449e-7	1.221183337480379e-4
MTDH	Other CNS embryonal tumor	0.8784160566501631	0.004093559384024812	0.6083615623598504
PCBP3	Other CNS embryonal tumor	0.876799968753913	0.0042535839928183605	0.6083615623598504
DMGDH	Other CNS embryonal tumor	0.8761431070630342	0.004319758999886319	0.6083615623598504
RPP30	Neurofibroma plexiform	-0.8757121994449758	8.961952467017031e-4	0.18611610296796566
CLK4	Other CNS embryonal tumor	0.8736388155973634	0.004578119576534352	0.6083615623598504
POLR2J	Choroid plexus tumor	-0.8729477530592183	5.120355798173533e-7	1.3888542754149035e-4
C11orf68	Choroid plexus tumor	-0.8710196846200513	5.820847759492471e-7	1.3888542754149035e-4
CISD2	Germ cell tumor	-0.868796590368006	0.005105403522483241	0.9965170093839139
HNRNPH3	Schwannoma	0.8614023034383141	1.5450437467033322e-4	0.033810105543375324
EIF3A	Other CNS embryonal tumor	0.861120197981782	0.00601849775349231	0.6083615623598504
ERH	Germ cell tumor	-0.8580799059137326	0.00640709660626852	0.9965170093839139
TAF15	Schwannoma	0.8577230270117681	1.7713627189784353e-4	0.033810105543375324
MRPS7	Choroid plexus tumor	-0.8550373634642361	1.567063279429317e-6	3.1158441539319586e-4
CCDC9	Schwannoma	0.8543323205111071	2.0026132989315674e-4	0.033810105543375324
FUS	Schwannoma	0.8540206512490377	2.0250200241797898e-4	0.033810105543375324
ZNF768	Schwannoma	0.8536137225363224	2.0545752399774077e-4	0.033810105543375324
TNRC6A	Schwannoma	0.851243085496303	2.233657462735859e-4	0.033810105543375324
RPS11	Germ cell tumor	-0.8484157739304035	0.007747724780931359	0.9965170093839139
ZC3H7A	Schwannoma	0.8475246310543868	2.539377626901819e-4	0.033810105543375324
KRI1	Schwannoma	0.8462489631920671	2.6515978133755255e-4	0.033810105543375324
FAM120A	Choroid plexus tumor	-0.8453085297053589	2.708700930683777e-6	4.035936648744908e-4
MBNL3	Choroid plexus tumor	-0.8446040852060168	2.8141233254965715e-6	4.035936648744908e-4
PABPC5	Other CNS embryonal tumor	-0.8436211261928999	0.008474150230448767	0.6083615623598504
ZNF326	Schwannoma	0.8420545846916716	3.0486554337077045e-4	0.033810105543375324
EDF1	Choroid plexus tumor	-0.8415931088568135	3.3061189502182435e-6	4.035936648744908e-4
