Splice ID	Case	Sample	Cluster	CNS	Type	dPSI
SMARCB1:23791756-23791894_23791755-23791867_23793558-23793688	A5SS	BS_P7EY9DXG	6		Skipping	0.402978695073236
PDXK:43732139-43732647_43732138-43732442_43734068-43734123	A5SS	BS_P7EY9DXG	6		Inclusion	0.432665254237288
NCOA3:47649005-47649109_47649004-47649097_47650981-47651276	A5SS	BS_P7EY9DXG	6		Skipping	0.202634510869565
MKKS:10412530-10413931_10413795-10413931_10408627-10408803	A5SS	BS_P7EY9DXG	6		Skipping	0.126496894409938
SNHG11:38446672-38446940_38446671-38446852_38447465-38447623	A5SS	BS_P7EY9DXG	6		Skipping	0.249851648351647
SNHG11:38446672-38446948_38446671-38446852_38447465-38447623	A5SS	BS_P7EY9DXG	6		Skipping	0.222375510204083
SNHG11:38446672-38447012_38446671-38446852_38447465-38447623	A5SS	BS_P7EY9DXG	6		Skipping	0.146324797843666
HSF4:67167120-67167599_67167119-67167222_67167823-67167947	A5SS	BS_P7EY9DXG	6		Skipping	0.364756055363321
ANXA2:60396151-60396427_60396372-60396427_60386027-60386086	A5SS	BS_P7EY9DXG	6		Skipping	0.214476953907816
DNM1:128226035-128226173_128226034-128226086_128234020-128234107	A5SS	BS_P7EY9DXG	6		Skipping	0.14715479876161
AUTS2:70766114-70766355_70766113-70766334_70777102-70777174	A5SS	BS_P7EY9DXG	6		Skipping	0.418754285714286
ENPP2:119626565-119626720_119626618-119626720_119621393-119621519	A5SS	BS_P7EY9DXG	6		Skipping	0.100893098782139
GCNT2:10528631-10529836_10528630-10528841_10621350-10621443	A5SS	BS_P7EY9DXG	6		Skipping	0.576409482758621
FAM184A:118961761-118961963_118961928-118961963_118959828-118960184	A5SS	BS_P7EY9DXG	6		Skipping	0.13104694167852
NUDT12:103560043-103560254_103560096-103560254_103558878-103559468	A5SS	BS_P7EY9DXG	6		Skipping	0.110006711409396
FBXL2:33378685-33378834_33378684-33378741_33383988-33384201	A5SS	BS_P7EY9DXG	6		Inclusion	0.210833564493759
SLC9A3-AS1:477244-477465_477243-477336_477805-477849	A5SS	BS_P7EY9DXG	6		Skipping	0.308285326086956
ZNF436-AS1:23368964-23369513_23368963-23369324_23371138-23371209	A5SS	BS_P7EY9DXG	6		Inclusion	0.503478382147839
PTGS1:122386446-122386732_122386445-122386621_122390197-122390345	A5SS	BS_P7EY9DXG	6		Skipping	0.372142653352353
TRMT9B:12990834-12991031_12990833-12991000_13006201-13006356	A5SS	BS_P7EY9DXG	6		Skipping	0.325837060702875
RABL2B:50783039-50783286_50783044-50783286_50782187-50782351	A5SS	BS_P7EY9DXG	6		Skipping	0.426446022727273
RCC1:28516725-28516867_28516724-28516853_28529857-28529939	A5SS	BS_P7EY9DXG	6		Skipping	0.277901666666666
STARD9:42585521-42585637_42585520-42585634_42634855-42634972	A5SS	BS_P7EY9DXG	6		Skipping	0.135287749287749
CNOT6L:77819233-77819368_77819303-77819368_77776270-77776392	A5SS	BS_P7EY9DXG	6		Inclusion	0.402792682926829
APTR:77695896-77696262_77696171-77696262_77685201-77685328	A5SS	BS_P7EY9DXG	6		Skipping	0.173298788694482
STX18-AS1:4542143-4542625_4542142-4542475_4544737-4544907	A5SS	BS_P7EY9DXG	6		Skipping	0.319502035278154
NRXN1:49943704-49943791_49943712-49943791_49918504-49922251	A5SS	BS_P7EY9DXG	6		Skipping	0.201497695852535
TACC1:38827168-38827375_38827167-38827288_38831124-38831177	A5SS	BS_P7EY9DXG	6		Skipping	0.205643617021276
SNHG15:44984357-44986097_44986020-44986097_44983821-44984046	A5SS	BS_P7EY9DXG	6		Skipping	0.152755102040816
GABBR1:29630458-29630643_29630521-29630643_29629086-29629107	A5SS	BS_P7EY9DXG	6		Skipping	0.258736914600551
TMEM177:119679167-119679617_119679166-119679225_119680831-119682118	A5SS	BS_P7EY9DXG	6		Inclusion	0.546026941362916
WDR26:224431477-224431581_224431524-224431581_224424517-224424654	A5SS	BS_P7EY9DXG	6		Skipping	0.153184840425532
WDR26:224431477-224431581_224431524-224431581_224424517-224424719	A5SS	BS_P7EY9DXG	6		Skipping	0.180533512064343
SPEG:219443108-219443637_219443107-219443150_219444652-219444742	A5SS	BS_P7EY9DXG	6		Skipping	0.316613827993255
