sample_id	geneset	gsva_score
CTRL1	HALLMARK_ADIPOGENESIS	0.01742160278745275
CTRL2	HALLMARK_ADIPOGENESIS	0.853658536585366
CTRL3	HALLMARK_ADIPOGENESIS	-0.40766550522648126
Treated1	HALLMARK_ADIPOGENESIS	-0.2613240418118483
Treated2	HALLMARK_ADIPOGENESIS	-0.6027874564459919
Treated3	HALLMARK_ADIPOGENESIS	0.14285714285714013
CTRL1	HALLMARK_ALLOGRAFT_REJECTION	-0.31058051489146976
CTRL2	HALLMARK_ALLOGRAFT_REJECTION	0.0245726889795429
CTRL3	HALLMARK_ALLOGRAFT_REJECTION	-0.358226438840219
Treated1	HALLMARK_ALLOGRAFT_REJECTION	-0.0070671378091867465
Treated2	HALLMARK_ALLOGRAFT_REJECTION	0.336167550058893
Treated3	HALLMARK_ALLOGRAFT_REJECTION	0.20758737943948552
CTRL1	HALLMARK_ANDROGEN_RESPONSE	-0.349650349650352
CTRL2	HALLMARK_ANDROGEN_RESPONSE	0.7616998386229156
CTRL3	HALLMARK_ANDROGEN_RESPONSE	-0.22610722610722434
Treated1	HALLMARK_ANDROGEN_RESPONSE	-0.9125874125874236
Treated2	HALLMARK_ANDROGEN_RESPONSE	0.06643356643356724
Treated3	HALLMARK_ANDROGEN_RESPONSE	0.007141794375837174
CTRL1	HALLMARK_ANGIOGENESIS	-0.0243902439024426
CTRL2	HALLMARK_ANGIOGENESIS	0.3170731707317059
CTRL3	HALLMARK_ANGIOGENESIS	0.3031358885017407
Treated1	HALLMARK_ANGIOGENESIS	-0.7630662020905898
Treated2	HALLMARK_ANGIOGENESIS	-0.30313588850174344
Treated3	HALLMARK_ANGIOGENESIS	-0.03135888501742512
CTRL1	HALLMARK_APICAL_JUNCTION	0.06964533636248824
CTRL2	HALLMARK_APICAL_JUNCTION	-0.21880542077965576
CTRL3	HALLMARK_APICAL_JUNCTION	0.19814812545193788
Treated1	HALLMARK_APICAL_JUNCTION	-1.9922523519741442e-4
Treated2	HALLMARK_APICAL_JUNCTION	-0.3722968212966703
Treated3	HALLMARK_APICAL_JUNCTION	-0.3605647274088243
CTRL1	HALLMARK_APOPTOSIS	-0.39790332106674015
CTRL2	HALLMARK_APOPTOSIS	-0.03914592197714295
CTRL3	HALLMARK_APOPTOSIS	-0.34524304833229386
Treated1	HALLMARK_APOPTOSIS	0.2370361630582276
Treated2	HALLMARK_APOPTOSIS	0.09875135519084877
Treated3	HALLMARK_APOPTOSIS	0.5198706172374258
CTRL1	HALLMARK_BILE_ACID_METABOLISM	-0.8745644599303102
CTRL2	HALLMARK_BILE_ACID_METABOLISM	-0.8257839721254325
CTRL3	HALLMARK_BILE_ACID_METABOLISM	-0.9512195121951179
Treated1	HALLMARK_BILE_ACID_METABOLISM	0.9024390243902438
Treated2	HALLMARK_BILE_ACID_METABOLISM	0.9581881533101044
Treated3	HALLMARK_BILE_ACID_METABOLISM	0.8815331010452963
CTRL1	HALLMARK_CHOLESTEROL_HOMEOSTASIS	-0.7167832167832242
CTRL2	HALLMARK_CHOLESTEROL_HOMEOSTASIS	-0.6477272727272808
