SpliceID	dPSI	Uniprot	Type	gene	Preference
AGFG2:100553346-100553500	0.34	Modification	SE	AGFG2	Inclusion
AGTPBP1:85575314-85575475	0.179	Modification	SE	AGTPBP1	Inclusion
AKR1A1:45568484-45568684	0.67	Modification	SE	AKR1A1	Inclusion
AKT1S1:49872916-49873302	0.248	Modification	SE	AKT1S1	Inclusion
AMBRA1:46410275-46410368	0.105	Modification	SE	AMBRA1	Inclusion
ANKS3:4726978-4727177	0.578	Modification	SE	ANKS3	Inclusion
ANKS6:98790103-98790606	0.184	Modification	SE	ANKS6	Inclusion
APP:26000014-26000182	0.128	Modification	SE	APP	Inclusion
APP:26000014-26000182	0.212	Modification	SE	APP	Inclusion
ARHGAP17:24939363-24939597	0.167	Modification	SE	ARHGAP17	Inclusion
ARHGAP17:24939363-24939597	0.336	Modification	SE	ARHGAP17	Inclusion
ARID5B:62057116-62057318	0.21	Modification	SE	ARID5B	Inclusion
ATG9A:219227921-219228053	0.199	Modification	SE	ATG9A	Inclusion
ATG9A:219227921-219228079	0.374	Modification	SE	ATG9A	Inclusion
ATP11C:139731650-139731755	0.136	Modification	SE	ATP11C	Inclusion
ATP5MF-PTCD1:99460085-99460193	0.229	Modification	SE	PTCD1	Inclusion
BABAM1:17268755-17269091	0.217	Modification	SE	BABAM1	Inclusion
BCAS3:61368326-61368494	0.128	Modification	SE	BCAS3	Inclusion
BCLAF1:136267028-136267175	0.121	Modification	SE	BCLAF1	Inclusion
BNIP2:59679591-59679768	0.377	Modification	SE	BNIP2	Inclusion
CC2D1B:52357000-52357126	0.18	Modification	SE	CC2D1B	Inclusion
CC2D1B:52357000-52357174	0.226	Modification	SE	CC2D1B	Inclusion
CCNYL1:207733946-207734047	0.405	Modification	SE	CCNYL1	Inclusion
CDC25A:48180720-48180840	0.174	Modification	SE	CDC25A	Inclusion
CDC42SE2:131385542-131385644	0.118	Modification	SE	CDC42SE2	Inclusion
CDK4:57750922-57751090	0.323	Modification	SE	CDK4	Inclusion
CDK5:151055531-151055606	0.27	Modification	SE	CDK5	Inclusion
CFAP36:55537482-55537585	0.168	Modification	SE	CFAP36	Inclusion
CLASRP:45068419-45068480	0.203	Modification	SE	CLASRP	Inclusion
CLK1:200860124-200860215	0.525	Modification	SE	CLK1	Inclusion
CLK4:178617343-178617434	0.374	Modification	SE	CLK4	Inclusion
CLTCL1:19208153-19208311	0.526	Modification	SE	CLTCL1	Inclusion
CNOT2:70329422-70329570	0.334	Modification	SE	CNOT2	Inclusion
COBLL1:164722424-164722522	0.255	Modification	SE	COBLL1	Inclusion
COBLL1:164722424-164722522	0.369	Modification	SE	COBLL1	Inclusion
COBLL1:164729913-164730115	0.601	Modification	SE	COBLL1	Inclusion
COQ4:128325778-128325881	0.139	Modification	SE	COQ4	Inclusion
CREB5:28507615-28507737	0.103	Modification	SE	CREB5	Inclusion
CRTC2:153951259-153951666	0.305	Modification	SE	CRTC2	Inclusion
CTDP1:79736354-79736521	0.351	Modification	SE	CTDP1	Inclusion
CTH:70429793-70429851	0.138	Modification	SE	CTH	Inclusion
DDX58:32492390-32492538	0.167	Modification	SE	DDX58	Inclusion
DENND5B:31495809-31495919	0.117	Modification	SE	DENND5B	Inclusion
DLG4:7191892-7192002	0.108	Modification	SE	DLG4	Inclusion
DLG4:7191892-7192002	0.152	Modification	SE	DLG4	Inclusion
DNAJC11:6652828-6652951	0.121	Modification	SE	DNAJC11	Inclusion
DNAJC11:6652828-6653387	0.157	Modification	SE	DNAJC11	Inclusion
DNAJC19:180986942-180987022	0.101	Modification	SE	DNAJC19	Inclusion
DNMT1:10180777-10180885	0.207	Modification	SE	DNMT1	Inclusion
ELP3:28113018-28113173	0.314	Modification	SE	ELP3	Inclusion
ENSG00000272980:167003192-167004401	0.108	Modification	SE	ENSG00000272980	Inclusion
EWSR1:29288605-29288755	0.12	Modification	SE	EWSR1	Inclusion
FAM13A:88805010-88805052	0.138	Modification	SE	FAM13A	Inclusion
FAM189B:155250275-155250821	0.194	Modification	SE	FAM189B	Inclusion
FAM189B:155250275-155250929	0.25	Modification	SE	FAM189B	Inclusion
FCHO2:73054159-73054171	0.506	Modification	SE	FCHO2	Inclusion
FLAD1:154989559-154989707	0.242	Modification	SE	FLAD1	Inclusion
FNIP2:158833527-158833628	0.145	Modification	SE	FNIP2	Inclusion
GATAD2A:19492580-19492712	0.177	Modification	SE	GATAD2A	Inclusion
GGA1:37625796-37625949	0.133	Modification	SE	GGA1	Inclusion
GGA1:37625796-37625949	0.284	Modification	SE	GGA1	Inclusion
GNPDA1:142007798-142007900	0.349	Modification	SE	GNPDA1	Inclusion
GRHPR:37424844-37424975	0.129	Modification	SE	GRHPR	Inclusion
GRHPR:37424844-37424975	0.164	Modification	SE	GRHPR	Inclusion
GSS:34929400-34929590	0.119	Modification	SE	GSS	Inclusion
GTPBP1:38708844-38708956	0.217	Modification	SE	GTPBP1	Inclusion
HCFC1:153958568-153958766	0.115	Modification	SE	HCFC1	Inclusion
HDAC9:18585280-18585522	0.142	Modification	SE	HDAC9	Inclusion
HDAC9:18585280-18585522	0.405	Modification	SE	HDAC9	Inclusion
HDAC9:18648465-18648683	0.185	Modification	SE	HDAC9	Inclusion
HJURP:233847396-233847461	0.19	Modification	SE	HJURP	Inclusion
HNRNPA2B1:26193598-26193694	0.528	Modification	SE	HNRNPA2B1	Inclusion
IFT43:76058641-76058674	0.524	Modification	SE	IFT43	Inclusion
IKBKE:206493265-206493378	0.161	Modification	SE	IKBKE	Inclusion
ILF3:10688549-10688678	0.117	Modification	SE	ILF3	Inclusion
ITGB4:75755700-75755850	0.148	Modification	SE	ITGB4	Inclusion
ITSN1:33819240-33819323	0.667	Modification	SE	ITSN1	Inclusion
KAT7:49796749-49796926	0.102	Modification	SE	KAT7	Inclusion
KIFC3:57759727-57759836	0.435	Modification	SE	KIFC3	Inclusion
KNSTRN:40386404-40386494	0.46	Modification	SE	KNSTRN	Inclusion
KRT8:52949455-52949517	0.4	Modification	SE	KRT8	Inclusion
KRT8:52949455-52949585	0.302	Modification	SE	KRT8	Inclusion
LAMTOR4:100149498-100149565	0.638	Modification	SE	LAMTOR4	Inclusion
LGALSL:64455343-64455415	0.197	Modification	SE	LGALSL	Inclusion
LSM14A:34215123-34215300	0.39	Modification	SE	LSM14A	Inclusion
LTV1:143844485-143844617	0.104	Modification	SE	LTV1	Inclusion
MAMLD1:150473679-150473802	0.387	Modification	SE	MAMLD1	Inclusion
MAP2:209692624-209696350	0.276	Modification	SE	MAP2	Inclusion
MAP2:209692636-209696350	0.382	Modification	SE	MAP2	Inclusion
MAP4K4:101860824-101860986	0.204	Modification	SE	MAP4K4	Inclusion
MCRIP2:646471-646608	0.317	Modification	SE	MCRIP2	Inclusion
