SpliceID	Histology
ILK:6604853-6604943_6604179-6604360_6608393-6608489_inclusion	Atypical teratoid rhabdoid tumor
CTBP2:125122657-125122868_125110996-125111093_125160318-125160520_inclusion	Atypical teratoid rhabdoid tumor
ZNF254:24091901-24092015_24087175-24087337_24106547-24106643_inclusion	Atypical teratoid rhabdoid tumor
IP6K2:48711367-48711459_48695089-48695421_48715314-48715527_inclusion	Atypical teratoid rhabdoid tumor
C10orf95-AS1:102452090-102452187_102450630-102451018_102455336-102456267_inclusion	Atypical teratoid rhabdoid tumor
SLC38A4:46803603-46803794_46792952-46793183_46825902-46825997_inclusion	Atypical teratoid rhabdoid tumor
ZNF521:25327406-25327448_25322007-25322187_25352004-25352170_inclusion	Atypical teratoid rhabdoid tumor
TESMIN:68744991-68745111_68736131-68738788_68747207-68747366_inclusion	Atypical teratoid rhabdoid tumor
FGFR1:38458847-38458969_38457355-38457534_38467671-38467900_inclusion	Atypical teratoid rhabdoid tumor
EP400:132021079-132021321_132020048-132020218_132023776-132023941_inclusion	Atypical teratoid rhabdoid tumor
AKAP6:32693627-32693716_32678310-32678459_32695989-32696110_inclusion	Atypical teratoid rhabdoid tumor
TJP2:69185087-69185204_69174376-69174432_69212547-69212601_inclusion	Atypical teratoid rhabdoid tumor
TRO:54923830-54923946_54922217-54922291_54924450-54924555_inclusion	Atypical teratoid rhabdoid tumor
CCDC18-AS1:93315149-93315269_93264646-93264772_93324634-93324691_inclusion	Atypical teratoid rhabdoid tumor
OTX2-AS1:56898268-56898345_56813182-56813469_56951376-56951521_inclusion	Atypical teratoid rhabdoid tumor
CELF4:37259181-37259264_37253766-37253938_37264673-37264757_inclusion	Atypical teratoid rhabdoid tumor
NCAM1:113242805-113242846_113235032-113235164_113255876-113256001_inclusion	Atypical teratoid rhabdoid tumor
ENSG00000268362:24034523-24034712_24033506-24033621_24036252-24036382_inclusion	Atypical teratoid rhabdoid tumor
PAQR6:156247510-156247632_156246689-156246756_156247956-156248056_inclusion	Atypical teratoid rhabdoid tumor
KLC1:103684986-103685036_103679308-103679518_103685637-103685702_inclusion	Atypical teratoid rhabdoid tumor
RTF2:56516935-56516989_56513314-56513428_56517105-56517201_inclusion	Atypical teratoid rhabdoid tumor
POMGNT2:43085936-43086035_43079258-43081536_43105835-43105858_inclusion	Atypical teratoid rhabdoid tumor
WWC1:168412005-168412129_168409921-168409995_168414347-168414590_inclusion	Atypical teratoid rhabdoid tumor
USP42:6128138-6128230_6115322-6115523_6135840-6135951_inclusion	Atypical teratoid rhabdoid tumor
ZSCAN18:58092450-58092568_58090232-58090386_58098114-58098228_inclusion	Atypical teratoid rhabdoid tumor
LINC00595:78210845-78210998_78179195-78179246_78213813-78214015_inclusion	Atypical teratoid rhabdoid tumor
LPIN1:11741349-11741428_11713755-11713812_11765532-11765733_inclusion	Atypical teratoid rhabdoid tumor
CHCHD6:126780340-126780430_126733077-126733222_126852643-126852730_inclusion	Atypical teratoid rhabdoid tumor
KCNQ2:63434213-63434435_63433677-63433903_63438624-63438720_inclusion	Atypical teratoid rhabdoid tumor
CLCN5:50050283-50050413_50042337-50042462_50054439-50054633_inclusion	Atypical teratoid rhabdoid tumor
RTF2:56471614-56471669_56468678-56468766_56472325-56472415_inclusion	Atypical teratoid rhabdoid tumor
MACF1:39103189-39103312_39083126-39084438_39231181-39231243_inclusion	Atypical teratoid rhabdoid tumor
MAST4:66902649-66902736_66899950-66899982_66986443-66986523_inclusion	Atypical teratoid rhabdoid tumor
ENSG00000259275:96361142-96361289_96354350-96354512_96394306-96395016_inclusion	Atypical teratoid rhabdoid tumor
IP6K2:48711367-48711459_48695089-48695418_48715314-48715527_inclusion	Atypical teratoid rhabdoid tumor
IMMP2L:111391838-111392019_110963499-110963565_111392801-111392915_inclusion	Atypical teratoid rhabdoid tumor
VRK2:58048527-58048587_58046714-58046821_58048826-58048967_inclusion	Atypical teratoid rhabdoid tumor
CEP57L1:109100192-109100286_109095152-109095575_109140420-109140675_inclusion	Atypical teratoid rhabdoid tumor
CRY1:107042950-107043178_107022083-107022192_107092803-107093549_inclusion	Atypical teratoid rhabdoid tumor
MCM9:118826147-118826292_118813441-118816294_118826781-118826864_inclusion	Atypical teratoid rhabdoid tumor
VEPH1:157499395-157499656_157495211-157495506_157503276-157503416_inclusion	Atypical teratoid rhabdoid tumor
FAM174B:92787964-92788140_92699039-92699163_92809645-92809861_inclusion	Atypical teratoid rhabdoid tumor
PTK2:140948666-140948723_140925660-140925749_140983841-140984155_inclusion	Atypical teratoid rhabdoid tumor
KIAA1191:176357176-176357273_176355570-176355749_176359810-176359918_inclusion	Atypical teratoid rhabdoid tumor
LINC01844:142746478-142746585_142745575-142745718_142756733-142756830_inclusion	Atypical teratoid rhabdoid tumor
HGS:81697866-81698116_81696823-81696998_81700466-81700600_inclusion	Atypical teratoid rhabdoid tumor
RHOH:40240128-40240345_40197032-40197300_40242713-40242801_inclusion	Atypical teratoid rhabdoid tumor
ENSG00000286023:121999225-121999495_121979570-121979816_122025863-122025937_inclusion	Atypical teratoid rhabdoid tumor
LINC01184:128064737-128064850_128061143-128061244_128076946-128077093_inclusion	Atypical teratoid rhabdoid tumor
TFG:100710971-100711068_100709352-100709431_100713642-100713869_inclusion	Atypical teratoid rhabdoid tumor
MIR100HG:122234281-122234375_122232853-122233416_122292283-122292403_inclusion	Atypical teratoid rhabdoid tumor
MYO18A:29125893-29125967_29122165-29122253_29140339-29140383_inclusion	Atypical teratoid rhabdoid tumor
UNC80:209872758-209872970_209849450-209849623_209877953-209878089_skipping	Atypical teratoid rhabdoid tumor
