SpliceID	Differential_freq	splicing_case	mean_dPSI	Uniprot	gene	Baseline_preference	Exon Coordinates	Average_TPM
AAK1:69480860-69480961_69465845-69466551_69495984-69496080	33	SE	0.279802861685214	Modifications	AAK1	Inclusion	69480860-69480961	13.786429942418426
AAK1:69480860-69480961_69465845-69466551_69495984-69496080	33	SE	0.283197138314786	Modifications	AAK1	Skipping	69480860-69480961	13.786429942418426
AAK1:69480860-69480961_69465845-69466551_69505568-69505673	6	SE	0.201636363636364	Modifications	AAK1	Skipping	69480860-69480961	13.786429942418426
AAK1:69480860-69480961_69476879-69476990_69495984-69496080	13	SE	0.260421052631579	Modifications	AAK1	Inclusion	69480860-69480961	13.786429942418426
AAK1:69480860-69480961_69476879-69476990_69505568-69505673	5	SE	0.29368992248062	Modifications	AAK1	Inclusion	69480860-69480961	13.786429942418426
AATK:81120201-81120984_81120200-81120399_81120827-81120984	5	RI	0.210281869688385	Modifications	AATK	Inclusion	81120201-81120984	12.220796545105566
AATK:81123194-81123343_81120200-81122823_81124726-81124848	26	SE	0.203247457627119	Domains	AATK	Inclusion	81123194-81123343	12.220796545105566
AATK:81126427-81126560_81124929-81125014_81127582-81127670	2	SE	0.261254901960784	Domains	AATK	Inclusion	81126427-81126560	12.220796545105566
AATK:81126658-81126817_81126445-81126560_81127582-81127670	15	SE	0.201362637362637	Domains	AATK	Skipping	81126658-81126817	12.220796545105566
ACVRL1:51913559-51913770_51913098-51913350_51914438-51914585	19	SE	0.247755447941889	Modifications	ACVRL1	Inclusion	51913559-51913770	4.442965451055662
ACVRL1:51913559-51913770_51913098-51913350_51914438-51914585	19	SE	0.247755447941889	Domains	ACVRL1	Inclusion	51913559-51913770	4.442965451055662
ACVRL1:51913974-51914073_51913558-51913770_51914438-51914585	2	SE	0.349243498817967	Domains	ACVRL1	Inclusion	51913974-51914073	4.442965451055662
ADCK1:77859076-77859279_77822434-77822518_77887090-77887249	5	SE	0.212140495867769	Domains	ADCK1	Inclusion	77859076-77859279	4.555561420345489
ADCK1:77887091-77887249_77859075-77859279_77899099-77899258	3	SE	0.22835724137931	Domains	ADCK1	Inclusion	77887091-77887249	4.555561420345489
ADCK1:77899100-77899258_77887090-77887249_77924456-77924512	2	SE	0.203946808510639	Domains	ADCK1	Inclusion	77899100-77899258	4.555561420345489
ADCK1:77900559-77900674_77899099-77899258_77907802-77907919	20	SE	0.204743697478992	Domains	ADCK1	Skipping	77900559-77900674	4.555561420345489
ADCK1:77907803-77907919_77899099-77899258_77924456-77924575	8	SE	0.211782849239281	Domains	ADCK1	Inclusion	77907803-77907919	4.555561420345489
ADCK5:144390856-144391056_144390860-144391056_144390670-144390746	26	A3SS	0.231201408450703	Domains	ADCK5	Inclusion	144390856-144391056	2.218891554702495
ADCK5:144391580-144391866_144391579-144391711_144391782-144391866	25	RI	0.409700284090909	Domains	ADCK5	Inclusion	144391580-144391866	2.218891554702495
ADCK5:144391580-144391866_144391579-144391711_144391782-144391866	25	RI	0.407299715909091	Domains	ADCK5	Skipping	144391580-144391866	2.218891554702495
ALPK2:58498049-58498097_58481246-58482039_58503930-58504148	3	SE	0.2025	Domains	ALPK2	Inclusion	58498049-58498097	1.141521113243762
ALPK2:58514993-58515081_58503930-58504148_58516907-58517182	2	SE	0.240627906976744	Domains	ALPK2	Inclusion	58514993-58515081	1.141521113243762
ALPK3:84827484-84827605_84817355-84817595_84838979-84839097	3	SE	0.203133333333333	Domains	ALPK3	Inclusion	84827484-84827605	2.203066218809981
AMHR2:53425455-53425573_53425454-53425487_53425685-53425919	2	A5SS	0.326647058823529	Domains	AMHR2	Inclusion	53425455-53425573	0.3151631477927063
AMHR2:53425455-53425573_53425454-53425487_53425688-53425919	3	A5SS	0.605379310344828	Domains	AMHR2	Inclusion	53425455-53425573	0.3151631477927063
AMHR2:53425455-53425919_53425454-53425487_53425685-53425919	2	RI	0.35175	Domains	AMHR2	Inclusion	53425455-53425919	0.3151631477927063
AMHR2:53425455-53425919_53425454-53425487_53425688-53425919	2	RI	0.689529411764706	Domains	AMHR2	Inclusion	53425455-53425919	0.3151631477927063
AMHR2:53428896-53429010_53425688-53425919_53429452-53429625	4	SE	0.258903225806452	Domains	AMHR2	Inclusion	53428896-53429010	0.3151631477927063
