SpliceID	dPSI	Uniprot	Type
ABHD17B:71866798-71867006	0.166	mod_res	SE
ABI1:26770244-26770345	0.186	mod_res	SE
ACTN4:38710256-38710342	0.239	mod_res	SE
ADD3:110132304-110132400	0.211	mod_res	SE
AFDN:167965756-167966276	0.102	mod_res	SE
AGFG2:100553346-100553500	-0.34	mod_res	SE
AGTPBP1:85575314-85575475	-0.179	mod_res	SE
AKR1A1:45568484-45568684	-0.67	mod_res	SE
AKT1S1:49872916-49873302	-0.248	mod_res	SE
AKT2:40236237-40236385	0.105	mod_res	SE
ALX1:85283571-85283876	0.119	mod_res	SE
AMBRA1:46410275-46410368	-0.105	mod_res	SE
ANKS3:4726978-4727177	-0.578	mod_res	SE
ANKS6:98790103-98790606	-0.184	mod_res	SE
APBA3:3759688-3760301	0.101	mod_res	SE
APP:26000014-26000182	-0.128	mod_res	SE
APP:26000014-26000182	-0.212	mod_res	SE
ARHGAP17:24939363-24939597	-0.167	mod_res	SE
ARHGAP17:24939363-24939597	-0.336	mod_res	SE
ARID5B:62057116-62057318	-0.21	mod_res	SE
ARMC6:19042710-19042877	0.306	mod_res	SE
ASAP1:130091972-130092143	0.107	mod_res	SE
ATG9A:219227921-219228053	-0.199	mod_res	SE
ATG9A:219227921-219228079	-0.374	mod_res	SE
ATP11C:139731650-139731755	-0.136	mod_res	SE
ATP5MF-PTCD1:99460085-99460193	-0.229	mod_res	SE
ATXN2:111510384-111510444	0.362	mod_res	SE
BABAM1:17268755-17269091	-0.217	mod_res	SE
BCAS3:61368326-61368494	-0.128	mod_res	SE
BCL2L12:49667018-49667161	0.234	mod_res	SE
BCL2L12:49667021-49667161	0.261	mod_res	SE
BCLAF1:136267028-136267175	-0.121	mod_res	SE
BNC2:16435554-16437524	0.108	mod_res	SE
BNIP2:59679591-59679768	-0.377	mod_res	SE
BRPF1:9744223-9744541	0.118	mod_res	SE
CASP8:201272897-201272942	0.24	mod_res	SE
CASP8:201272897-201272942	0.494	mod_res	SE
CASP8:201274888-201274953	0.247	mod_res	SE
CAST:96722638-96722698	0.159	mod_res	SE
CAST:96729611-96729725	0.315	mod_res	SE
CC2D1B:52357000-52357126	-0.18	mod_res	SE
CC2D1B:52357000-52357174	-0.226	mod_res	SE
CCDC18:93183977-93184146	0.159	mod_res	SE
CCDC28B:32204185-32204379	0.196	mod_res	SE
CCNYL1:207733946-207734047	-0.405	mod_res	SE
CDC25A:48180720-48180840	-0.174	mod_res	SE
CDC25C:138330986-138331214	0.125	mod_res	SE
CDC27:47157229-47157384	0.243	mod_res	SE
CDC42SE2:131385542-131385644	-0.118	mod_res	SE
CDCA3:6849322-6849413	0.163	mod_res	SE
CDK4:57750922-57751090	-0.323	mod_res	SE
CDK5:151055531-151055606	-0.27	mod_res	SE
CDKL3:134350248-134350427	0.161	mod_res	SE
CEP128:80497468-80497582	0.177	mod_res	SE
CEP164:117382795-117382942	0.273	mod_res	SE
CEP170:243185778-243186072	0.119	mod_res	SE
CFAP36:55537482-55537585	-0.168	mod_res	SE
CFL2:34713673-34713904	0.775	mod_res	SE
CLASRP:45068419-45068480	-0.203	mod_res	SE
CLK1:200860124-200860215	-0.525	mod_res	SE
CLK4:178617343-178617434	-0.374	mod_res	SE
CLTCL1:19208153-19208311	-0.526	mod_res	SE
CNNM1:99388151-99388301	0.295	mod_res	SE
CNNM1:99388151-99388301	0.333	mod_res	SE
CNOT2:70329422-70329570	-0.334	mod_res	SE
COBLL1:164722424-164722522	-0.255	mod_res	SE
COBLL1:164722424-164722522	-0.369	mod_res	SE
COBLL1:164729913-164730115	-0.601	mod_res	SE
COQ4:128325778-128325881	-0.139	mod_res	SE
COQ4:128325778-128325881	0.153	mod_res	SE
CREB5:28507615-28507737	-0.103	mod_res	SE
CREM:35179133-35179276	0.564	mod_res	SE
CRTC2:153951259-153951666	-0.305	mod_res	SE
CRTC2:153953265-153953369	0.121	mod_res	SE
CTDP1:79717809-79718016	0.667	mod_res	SE
CTDP1:79728906-79729069	0.395	mod_res	SE
CTDP1:79736354-79736521	-0.351	mod_res	SE
CTH:70429793-70429851	-0.138	mod_res	SE
CTTN:70421469-70421580	0.132	mod_res	SE
DDR1:30895403-30895514	0.105	mod_res	SE
DDX58:32492390-32492538	-0.167	mod_res	SE
DENND2B:8729949-8731209	0.141	mod_res	SE
DENND2B:8731122-8731209	0.164	mod_res	SE
DENND5B:31495809-31495919	-0.117	mod_res	SE
DEPDC1:68482045-68482897	0.105	mod_res	SE
DLG4:7191892-7192002	-0.108	mod_res	SE
DLG4:7191892-7192002	-0.152	mod_res	SE
DMTN:22067084-22067159	0.161	mod_res	SE
DNAAF2:49628011-49628155	0.111	mod_res	SE
DNAJC11:6652828-6652951	-0.121	mod_res	SE
DNAJC11:6652828-6653387	-0.157	mod_res	SE
DNAJC19:180986942-180987022	-0.101	mod_res	SE
DNM1L:32737864-32737942	0.164	mod_res	SE
DNMT1:10180777-10180885	-0.207	mod_res	SE
DSN1:36770872-36770977	0.15	mod_res	SE
DSN1:36770872-36771024	0.114	mod_res	SE
DYRK2:67649796-67649945	0.243	mod_res	SE
EIF4G1:184315762-184315856	0.26	mod_res	SE
EIF4G1:184317320-184317431	0.121	mod_res	SE
EIF4G1:184317320-184317431	0.337	mod_res	SE
