SpliceID	dPSI	Uniprot	Type
AFDN:167965756-167966270	0.21	mod_res	A5SS
AFDN:167965756-167966276	0.288	mod_res	A5SS
ALDH3B1:68015296-68018637	0.148	mod_res	A5SS
BANP:87975047-87975207	0.463	mod_res	A5SS
BECN1:42823704-42823879	-0.23	mod_res	A5SS
BLVRB:40458173-40458545	-0.109	mod_res	A5SS
C19orf54:40742398-40742770	-0.151	mod_res	A5SS
CASP7:113725361-113725537	-0.163	mod_res	A5SS
CASP7:113725361-113725537	-0.335	mod_res	A5SS
CASP8:201276826-201277104	0.119	mod_res	A5SS
CDK18:205523482-205523715	-0.101	mod_res	A5SS
CLK4:178617343-178618778	-0.601	mod_res	A5SS
DDX56:44572562-44572744	0.605	mod_res	A5SS
DNAJC11:6652828-6654039	-0.158	mod_res	A5SS
ETF1:138542633-138542936	0.119	mod_res	A5SS
EWSR1:29288605-29291599	-0.117	mod_res	A5SS
EZH2:148846469-148846598	-0.15	mod_res	A5SS
FHIP1B:6218557-6218763	0.112	mod_res	A5SS
HNRNPA1:54282572-54282662	0.395	mod_res	A5SS
HNRNPA1:54282572-54282665	0.395	mod_res	A5SS
HNRNPA2B1:26190992-26192577	0.136	mod_res	A5SS
KAT2A:42119053-42119436	0.143	mod_res	A5SS
KLC1:103679383-103679545	-0.114	mod_res	A5SS
LARP7:112644667-112644871	0.171	mod_res	A5SS
MID1:10566887-10567603	-0.117	mod_res	A5SS
NCL:231458265-231459125	0.133	mod_res	A5SS
NFKBIL1:31557627-31557849	0.16	mod_res	A5SS
NMT1:45081643-45081995	-0.276	mod_res	A5SS
PARD3:34347955-34348115	-0.183	mod_res	A5SS
PIGA:15331819-15331992	0.108	mod_res	A5SS
PLEKHH3:42669917-42670376	-0.158	mod_res	A5SS
PLSCR1:146521543-146522053	0.161	mod_res	A5SS
PPARGC1A:23831495-23831751	0.11	mod_res	A5SS
PPIG:169630773-169631933	-0.186	mod_res	A5SS
PUM1:31059203-31059577	0.119	mod_res	A5SS
RAD51AP1:4543762-4543911	-0.146	mod_res	A5SS
RAD51C:58692601-58693650	0.15	mod_res	A5SS
RANBP3:5931403-5931531	0.15	mod_res	A5SS
RMND5B:178138107-178138396	0.162	mod_res	A5SS
RPL35A:197951158-197951328	-0.154	mod_res	A5SS
SGO1:20174248-20175055	-0.312	mod_res	A5SS
SLC9A3-AS1:477243-477465	0.113	mod_res	A5SS
SYNCRIP:85614980-85615347	-0.115	mod_res	A5SS
TACC1:38827167-38827375	-0.269	mod_res	A5SS
TLE3:70057458-70057658	-0.242	mod_res	A5SS
TMEM199:28357646-28357905	-0.738	mod_res	A5SS
TMEM94:75491690-75491900	-0.112	mod_res	A5SS
TMF1:69047348-69048562	-0.404	mod_res	A5SS
USP19:49116720-49116943	-0.146	mod_res	A5SS
ZDHHC3:44959126-44959460	-0.145	mod_res	A5SS
ZNF652:49316825-49317983	0.139	mod_res	A5SS
ERBB2:39706989-39707204	-0.252	disulfid	A5SS
ESAM:124754629-124754763	0.3	disulfid	A5SS
FCGRT:49513881-49514486	0.165	disulfid	A5SS
HGFAC:3445264-3445896	0.35	disulfid	A5SS
ITGA6:172489484-172489658	-0.108	disulfid	A5SS
SCARB1:124807760-124807927	0.126	disulfid	A5SS
ST3GAL3:43899167-43899289	0.185	disulfid	A5SS
THBS3:155203085-155203137	0.109	disulfid	A5SS
TPP1:6617625-6618915	-0.189	disulfid	A5SS
HSD11B1L:5684818-5685119	-0.287	signal	A5SS
IFI6:27669232-27669346	0.169	signal	A5SS
N4BP2L2:32527407-32527532	-0.146	signal	A5SS
PITRM1:3171760-3172782	0.301	signal	A5SS
PLPP5:38268822-38268990	0.127	signal	A5SS
SDC2:96493812-96494331	0.147	signal	A5SS
ABCA7:1056906-1057429	-0.139	domain	A5SS
ABHD11:73737220-73737735	0.101	domain	A5SS
ACAA1:38126161-38126700	-0.254	domain	A5SS
ADNP2:80117529-80117650	0.355	domain	A5SS
ALDH3B1:68015296-68018637	0.148	domain	A5SS
ANPEP:89804945-89805217	0.122	domain	A5SS
ASB9:15248682-15248935	0.309	domain	A5SS
B4GALT4:119218649-119218772	-0.117	domain	A5SS
BLVRB:40458173-40458545	-0.109	domain	A5SS
BRPF1:9742024-9742541	0.103	domain	A5SS
BRPF1:9742024-9742541	0.292	domain	A5SS
BRPF1:9742943-9743471	0.291	domain	A5SS
BRSK1:55287213-55287303	0.121	domain	A5SS
CASP7:113725361-113725537	-0.163	domain	A5SS
CASP7:113725361-113725537	-0.335	domain	A5SS
CASP8:201276826-201277104	0.119	domain	A5SS
CD74:150405084-150406321	0.22	domain	A5SS
CD74:150405084-150406321	0.5	domain	A5SS
CLEC16A:11003073-11003305	-0.248	domain	A5SS
CLK4:178617343-178618778	-0.601	domain	A5SS
CNN2:1032558-1032669	0.449	domain	A5SS
CNOT3:54152866-54153082	0.279	domain	A5SS
