Splice ID	Case	Sample	Cluster	CNS	Type	dPSI
TXLNGY:19588370-19589612_19588369-19588650_19589526-19589612	RI	BS_P7EY9DXG	6		Skipping	0.109516129032258
TTTY14:19043163-19044695_19043162-19043346_19044661-19044695	RI	BS_P7EY9DXG	6		Skipping	0.146866666666666
TAF1:71423117-71424066_71423116-71423264_71423973-71424066	RI	BS_P7EY9DXG	6		Skipping	0.332875
MED12:71137726-71137943_71137725-71137780_71137855-71137943	RI	BS_P7EY9DXG	6		Skipping	0.154432835820896
LAS1L:65520702-65523707_65520701-65520817_65523559-65523707	RI	BS_P7EY9DXG	6		Skipping	0.178923076923077
LAS1L:65528260-65529258_65528259-65528369_65528875-65529258	RI	BS_P7EY9DXG	6		Skipping	0.16772131147541
LAS1L:65528260-65529258_65528259-65528369_65528963-65529258	RI	BS_P7EY9DXG	6		Skipping	0.183984375
ARSA:50627556-50628170_50627555-50627792_50627945-50628170	RI	BS_P7EY9DXG	6		Skipping	0.344485294117647
MED15:20554936-20555148_20554935-20554995_20555076-20555148	RI	BS_P7EY9DXG	6		Skipping	0.0450735294117642
L3MBTL1:43540753-43541189_43540752-43540815_43540933-43541189	RI	BS_P7EY9DXG	6		Skipping	0.293238095238095
TBC1D20:441588-442043_441587-441689_441778-442043	RI	BS_P7EY9DXG	6		Skipping	0.257387096774194
ZNF667-AS1:56494163-56495437_56494162-56494342_56495047-56495437	RI	BS_P7EY9DXG	6		Skipping	0.275632352941177
TTYH1:54416056-54416924_54416055-54416066_54416788-54416924	RI	BS_P7EY9DXG	6		Skipping	0.236507936507936
ZNF577:51886821-51887936_51886820-51886912_51887831-51887936	RI	BS_P7EY9DXG	6		Skipping	0.355805970149254
CPT1C:49713420-49713731_49713419-49713541_49713615-49713731	RI	BS_P7EY9DXG	6		Skipping	0.0583382352941177
DUBR:107246008-107247088_107246007-107246052_107246994-107247088	RI	BS_P7EY9DXG	6		Skipping	0.1792
NSUN5P1:75415592-75416191_75415591-75415980_75416102-75416191	RI	BS_P7EY9DXG	6		Skipping	0.118734375
LINC00174:66491031-66491471_66491030-66491239_66491349-66491471	RI	BS_P7EY9DXG	6		Skipping	0.223066666666667
STAT3:42323260-42323625_42323259-42323354_42323452-42323625	RI	BS_P7EY9DXG	6		Skipping	0.42021875
PHF20L1:132814637-132817545_132814636-132814889_132817338-132817545	RI	BS_P7EY9DXG	6		Skipping	0.533786885245902
RNASEK-C17orf49:7014145-7015156_7014144-7014277_7015061-7015156	RI	BS_P7EY9DXG	6		Skipping	0.0227647058823527
RPL10A:35468947-35469529_35468946-35469285_35469380-35469529	RI	BS_P7EY9DXG	6		Skipping	0.382044117647059
CLCN4:10208045-10208590_10208044-10208181_10208274-10208590	RI	BS_P7EY9DXG	6		Skipping	0.138530303030303
MIR9-3HG:89387431-89387881_89387430-89387538_89387816-89387881	RI	BS_P7EY9DXG	6		Skipping	0.38328125
HMGXB3:150024262-150024680_150024261-150024408_150024504-150024680	RI	BS_P7EY9DXG	6		Skipping	0.081485294117647
ATF3:212615018-212615261_212615017-212615045_212615151-212615261	RI	BS_P7EY9DXG	6		Skipping	0.0338095238095237
SNX9:157938633-157940974_157938632-157938747_157940904-157940974	RI	BS_P7EY9DXG	6		Skipping	0.144809523809524
ERLIN2:37744571-37746550_37744570-37744696_37745568-37746550	RI	BS_P7EY9DXG	6		Skipping	0.439984615384615
PLPP5:38267897-38268990_38267896-38267960_38268881-38268990	RI	BS_P7EY9DXG	6		Skipping	0.213742424242424
PNPO:47944616-47945612_47944615-47944715_47945558-47945612	RI	BS_P7EY9DXG	6		Inclusion	0.244
SCARB2:76179517-76181101_76179516-76179771_76180953-76181101	RI	BS_P7EY9DXG	6		Skipping	0.162809523809524
ULK3:74842280-74842676_74842279-74842420_74842534-74842676	RI	BS_P7EY9DXG	6		Skipping	0.513120689655173
ULK3:74842280-74842676_74842279-74842420_74842538-74842676	RI	BS_P7EY9DXG	6		Skipping	0.603301886792453
SBF1:50467532-50467923_50467531-50467611_50467785-50467923	RI	BS_P7EY9DXG	6		Skipping	0.114455882352941
IFT172:27484028-27484266_27484027-27484106_27484226-27484266	RI	BS_P7EY9DXG	6		Skipping	0.282528301886792
TMEM175:948116-948615_948115-948154_948410-948615	RI	BS_P7EY9DXG	6		Skipping	0.524484848484849
FUS:31184939-31188357_31184938-31185179_31188324-31188357	RI	BS_P7EY9DXG	6		Skipping	0.291044776119403
NECAP1:8090195-8091850_8090194-8090299_8091839-8091850	RI	BS_P7EY9DXG	6		Skipping	0.041926470588235
ZFPL1:65085115-65086608_65085114-65085314_65086414-65086608	RI	BS_P7EY9DXG	6		Skipping	0.290859649122807
QARS1:49103345-49103706_49103344-49103431_49103630-49103706	RI	BS_P7EY9DXG	6		Skipping	0.214476923076923
QARS1:49103345-49103706_49103344-49103466_49103630-49103706	RI	BS_P7EY9DXG	6		Skipping	0.0961384615384614
GAS5:173864257-173865282_173864256-173864304_173865228-173865282	RI	BS_P7EY9DXG	6		Skipping	0.225611940298508
GAS5:173864257-173865547_173864256-173864304_173865509-173865547	RI	BS_P7EY9DXG	6		Skipping	0.153161764705882
ATF6:161863198-161865955_161863197-161863312_161864740-161865955	RI	BS_P7EY9DXG	6		Skipping	0.321796875
FTH1:61964987-61965515_61964986-61965105_61965368-61965515	RI	BS_P7EY9DXG	6		Skipping	0.195852941176471
SETMAR:4312898-4313761_4312897-4313229_4313646-4313761	RI	BS_P7EY9DXG	6		Skipping	0.163338235294118
LMNA:156136214-156137028_156136213-156136549_156136920-156137028	RI	BS_P7EY9DXG	6		Skipping	0.126674418604651
HAX1:154273336-154273961_154273335-154273534_154273773-154273961	RI	BS_P7EY9DXG	6		Skipping	0.0322794117647059
TMEM161B-DT:88269468-88270585_88269467-88269687_88270525-88270585	RI	BS_P7EY9DXG	6		Skipping	0.199352941176471
TMEM106A:43213021-43213252_43213020-43213045_43213189-43213252	RI	BS_P7EY9DXG	6		Skipping	0.184016949152543
SAMD9L:93145385-93146040_93145384-93145532_93145908-93146040	RI	BS_P7EY9DXG	6		Skipping	0.3149375
ASAH1:18056835-18057623_18056834-18057331_18057430-18057623	RI	BS_P7EY9DXG	6		Skipping	0.019
RAD52:929819-930144_929818-929886_929972-930144	RI	BS_P7EY9DXG	6		Skipping	0.0960303030303032
SNHG12:28579533-28579981_28579532-28579587_28579941-28579981	RI	BS_P7EY9DXG	6		Skipping	0.286455882352941
PPP1R8:27850093-27851676_27850092-27850414_27851539-27851676	RI	BS_P7EY9DXG	6		Skipping	0.138970588235294
NAXE:156592557-156593555_156592556-156592670_156593463-156593555	RI	BS_P7EY9DXG	6		Skipping	0.0835441176470587
AK2:33012074-33013402_33012073-33012122_33013206-33013402	RI	BS_P7EY9DXG	6		Skipping	0.0778088235294118
KMT2E-AS1:105013281-105014086_105013280-105013726_105013880-105014086	RI	BS_P7EY9DXG	6		Skipping	0.132393939393939
MOV10:112699458-112699810_112699457-112699612_112699662-112699810	RI	BS_P7EY9DXG	6		Skipping	0.171338983050847
ACTB:5528281-5529059_5528280-5528719_5529018-5529059	RI	BS_P7EY9DXG	6		Skipping	0.0630000000000002
WDR62:36102948-36103207_36102947-36103042_36103155-36103207	RI	BS_P7EY9DXG	6		Skipping	0.291
POMGNT1:46190473-46192223_46190472-46190621_46192097-46192223	RI	BS_P7EY9DXG	6		Skipping	0.365524590163934
CCNL2:1390766-1391575_1390765-1390865_1391296-1391575	RI	BS_P7EY9DXG	6		Skipping	0.136220588235294
PHACTR4:28496534-28500364_28496533-28497271_28499419-28500364	RI	BS_P7EY9DXG	6		Skipping	0.0644264705882351
SNHG17:38421006-38422241_38421005-38421098_38422011-38422241	RI	BS_P7EY9DXG	6		Skipping	0.127111111111111
RACK1:181241492-181242345_181241491-181241639_181242285-181242345	RI	BS_P7EY9DXG	6		Skipping	0.0707647058823531
APBB3:140561587-140561849_140561586-140561722_140561843-140561849	RI	BS_P7EY9DXG	6		Skipping	0.209746268656716
AIFM1:130129970-130131799_130129969-130130102_130131674-130131799	RI	BS_P7EY9DXG	6		Skipping	0.162567164179105
AMT:49416822-49417718_49416821-49417309_49417614-49417718	RI	BS_P7EY9DXG	6		Skipping	0.241258064516129
PCBP1-AS1:70085816-70086273_70085815-70085903_70086054-70086273	RI	BS_P7EY9DXG	6		Skipping	0.0626323529411763
RPL13A:49489850-49491547_49489849-49491266_49491424-49491547	RI	BS_P7EY9DXG	6		Skipping	0.119208955223881
PTPRZ1:122010334-122013889_122010333-122011309_122012077-122013889	RI	BS_P7EY9DXG	6		Skipping	0.0240735294117643
PTPRZ1:122010334-122013889_122010333-122011309_122012647-122013889	RI	BS_P7EY9DXG	6		Skipping	0.357367647058823
ANKRD36B:97507564-97508065_97507563-97507657_97507994-97508065	RI	BS_P7EY9DXG	6		Skipping	0.14048275862069
AP5Z1:4789832-4790591_4789831-4789929_4790388-4790591	RI	BS_P7EY9DXG	6		Skipping	0.117103448275862
POLG:89317376-89318749_89317375-89317476_89318540-89318749	RI	BS_P7EY9DXG	6		Skipping	0.162676470588235
POLG:89317939-89318749_89317938-89317975_89318540-89318749	RI	BS_P7EY9DXG	6		Skipping	0.178954545454545
TDG:103982799-103983389_103982798-103982934_103983294-103983389	RI	BS_P7EY9DXG	6		Skipping	0.434431034482758
ERCC3:127289337-127289824_127289336-127289519_127289688-127289824	RI	BS_P7EY9DXG	6		Skipping	0.3642
ZFTA:63764868-63765254_63764867-63764919_63765042-63765254	RI	BS_P7EY9DXG	6		Skipping	0.0473593749999998
HNRNPA3:177215978-177216771_177215977-177216188_177216675-177216771	RI	BS_P7EY9DXG	6		Skipping	0.264132352941176
